feature,pu,value
17,118514,2
17,112069,2
17,114704,2
17,6686,2
17,38712,32
17,79936,2
17,40287,2
17,99586,2
17,66836,2
17,73032,1
17,47549,2
17,64748,2
17,117421,2
17,71148,1
1,2473,32
1,2839,32
1,7041,1
1,8568,1
1,11077,1
1,11677,1
1,12200,4
1,14274,1
1,15825,1
1,16297,1
1,18725,1
1,22342,32
1,27522,1
1,32568,1
1,33760,1
1,33991,32
1,34701,1
1,35129,1
1,52160,32
1,57006,1
1,60812,1
1,61369,1
1,62613,32
1,63098,32
1,65828,32
1,67563,1
1,73097,1
1,73696,1
1,73831,1
1,74354,1
1,79496,1
1,81451,4
1,83324,32
1,83645,4
1,95786,32
1,99629,1
1,100696,1
1,101375,32
1,101381,1
1,104671,4
1,104973,1
1,106825,1
1,112050,4
1,117328,1
1,119529,32
1,119954,1
1,120271,1
1,317,1
1,1349,1
1,1458,1
1,3509,1
1,3511,1
1,6212,1
1,9360,1
1,10159,1
1,11522,1
1,12774,1
1,13989,4
1,15053,1
1,15393,1
1,15622,1
1,16681,1
1,17991,1
1,18326,1
1,19033,1
1,19438,1
1,21241,1
1,23847,4
1,24275,1
1,29102,1
1,29370,1
1,32846,1
1,32962,1
1,35387,1
1,35699,1
1,36079,1
1,36549,1
1,36803,1
1,40614,1
1,41209,1
1,42607,1
1,42964,1
1,43111,1
1,44153,1
1,46537,1
1,50388,1
1,52804,1
1,55162,1
1,57046,1
1,60398,1
1,60876,1
1,61423,1
1,63396,1
1,65273,1
1,67255,1
1,67358,1
1,70871,1
1,71427,1
1,71771,1
1,79534,1
1,80002,1
1,80654,1
1,86298,1
1,91091,1
1,92232,1
1,103663,1
1,107844,1
1,108742,1
1,109238,1
1,110169,1
1,110169,1
1,110258,1
1,111579,1
1,111777,1
1,113054,1
1,113152,1
1,113752,1
1,113752,1
1,114487,1
1,116752,1
1,118196,1
1,17719,1
1,23222,1
1,28143,1
1,32952,4
1,33537,1
1,36743,1
1,45773,1
1,47296,1
1,54427,1
1,61944,1
1,68236,1
1,69781,1
1,77030,1
1,85670,1
1,88005,1
1,100136,1
1,104465,1
1,114074,1
1,118852,1
1,7509,1
1,11573,1
1,25221,1
1,27387,1
1,54400,1
1,56739,1
1,56747,1
1,59919,4
1,71512,1
1,78402,1
1,82026,1
1,100112,1
1,102774,1
1,105474,1
1,108955,1
1,109758,1
1,114047,1
1,117456,1
1,118616,1
1,119207,1
1,1449,1
1,1682,1
1,3225,1
1,4999,1
1,9292,1
1,10214,1
1,11903,4
1,14413,1
1,15233,1
1,17227,1
1,18619,1
1,18906,1
1,19524,1
1,21768,1
1,23680,1
1,25250,1
1,25752,4
1,26328,1
1,27188,1
1,30103,1
1,31669,1
1,34257,1
1,34359,1
1,36377,32
1,38234,4
1,41079,1
1,42351,1
1,44454,1
1,46496,1
1,48017,1
1,53608,1
1,55716,1
1,56657,1
1,56867,1
1,59341,1
1,59447,1
1,61297,1
1,61717,4
1,62639,1
1,67657,1
1,69281,1
1,71622,1
1,73443,1
1,74851,1
1,74983,1
1,76379,1
1,79280,1
1,79373,1
1,80247,1
1,80724,1
1,82179,1
1,86181,1
1,86593,1
