id	target	spf	name
1	315	10	ACGEN
2	315	10	ACNIS
3	315	10	AECAU
4	315	10	ALRUF
5	315	10	ANTRI
6	315	10	APMEL
7	315	10	BUBUT
8	315	10	CACAR
9	315	10	CAINA
10	315	10	CEBRA
11	315	10	COOEN
12	315	10	COPAL
13	315	10	CORAX
14	315	10	DEMAJ
15	315	10	DEURB
16	315	10	EMCIA
17	315	10	EMCIR
18	315	10	ERRUB
19	315	10	FRCOE
20	315	10	GAGLA
21	315	10	HIDAU
22	315	10	JYTOR
23	315	10	LASEN
24	315	10	LOCUR
25	315	10	LUMEG
26	315	10	MEAPI
27	315	10	MOALB
28	315	10	MOCIN
29	315	10	MOSAX
30	315	10	MOSOL
31	315	10	MUSTR
32	315	10	OEHIS
33	315	10	ORORI
34	315	10	PAATE
35	315	10	PACAE
36	315	10	PACRI
37	315	10	PAMAJ
38	315	10	PEPET
39	315	10	PHBON
40	315	10	PHITA
41	315	10	PHOCH
42	315	10	PTRUP
43	315	10	REIGN
44	315	10	SATOR
45	315	10	SESER
46	315	10	SIEUR
47	315	10	STTUR
48	315	10	SYATR
49	315	10	SYBOR
50	315	10	SYCAN
51	315	10	SYCOM
52	315	10	SYHOR
53	315	10	SYMEL
54	315	10	TRTRO
55	315	10	TUMER
56	315	10	TUPHI
57	315	10	ANCAM
58	315	10	AQCHR
59	315	10	BUBUB
60	315	10	CAEUR
61	315	10	CIGAL
62	315	10	DRMAR
63	315	10	EMHOR
64	315	10	FAPER
65	315	10	GATHE
66	315	10	GYBAR
67	315	10	GYFUL
68	315	10	HIFAS
69	315	10	HIPEN
70	315	10	LACOL
71	315	10	LUARB
72	315	10	MIMIG
73	315	10	MIMIL
74	315	10	NEPER
75	315	10	OEURA
76	315	10	PEAPI
77	315	10	PYRAX
78	315	10	SYUND
79	315	10	TEURO
