"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
79,TEURO,315.000000,315.417000,0,347,0,3306597,yes,1.000000
78,SYUND,315.000000,673.774000,0,778,0,3306597,yes,1.000000
77,PYRAX,315.000000,634.743000,0,764,0,3306597,yes,1.000000
76,PEAPI,315.000000,553.104000,0,719,0,3306597,yes,1.000000
75,OEURA,315.000000,315.618000,0,341,0,3306597,yes,1.000000
74,NEPER,315.000000,315.175000,0,395,0,3306597,yes,1.000000
73,MIMIL,315.000000,315.818000,0,392,0,3306597,yes,1.000000
72,MIMIG,315.000000,370.070000,0,515,0,3306597,yes,1.000000
71,LUARB,315.000000,558.393000,0,701,0,3306597,yes,1.000000
70,LACOL,315.000000,365.704000,0,439,0,3306597,yes,1.000000
69,HIPEN,315.000000,315.091000,0,401,0,3306597,yes,1.000000
68,HIFAS,315.000000,315.475000,0,367,0,3306597,yes,1.000000
67,GYFUL,315.000000,516.233000,0,628,0,3306597,yes,1.000000
66,GYBAR,315.000000,384.722000,0,466,0,3306597,yes,1.000000
65,GATHE,315.000000,360.894000,0,444,0,3306597,yes,1.000000
64,FAPER,315.000000,502.873000,0,651,0,3306597,yes,1.000000
63,EMHOR,315.000000,361.525000,0,431,0,3306597,yes,1.000000
62,DRMAR,315.000000,522.702000,0,626,0,3306597,yes,1.000000
61,CIGAL,315.000000,315.219000,0,438,0,3306597,yes,1.000000
60,CAEUR,315.000000,354.790000,0,493,0,3306597,yes,1.000000
59,BUBUB,315.000000,315.485000,0,418,0,3306597,yes,1.000000
58,AQCHR,315.000000,486.681000,0,606,0,3306597,yes,1.000000
57,ANCAM,315.000000,380.569000,0,466,0,3306597,yes,1.000000
56,TUPHI,315.000000,659.077000,0,784,0,3306597,yes,1.000000
55,TUMER,315.000000,1829.538000,0,2069,0,3306597,yes,1.000000
54,TRTRO,315.000000,1245.434000,0,1499,0,3306597,yes,1.000000
53,SYMEL,315.000000,1040.357000,0,1221,0,3306597,yes,1.000000
52,SYHOR,315.000000,365.989000,0,468,0,3306597,yes,1.000000
51,SYCOM,315.000000,329.036000,0,436,0,3306597,yes,1.000000
50,SYCAN,315.000000,393.614000,0,520,0,3306597,yes,1.000000
49,SYBOR,315.000000,315.108000,0,439,0,3306597,yes,1.000000
48,SYATR,315.000000,1181.143000,0,1409,0,3306597,yes,1.000000
47,STTUR,315.000000,707.032000,0,940,0,3306597,yes,1.000000
46,SIEUR,315.000000,533.314000,0,628,0,3306597,yes,1.000000
45,SESER,315.000000,1204.028000,0,1446,0,3306597,yes,1.000000
44,SATOR,315.000000,662.966000,0,907,0,3306597,yes,1.000000
43,REIGN,315.000000,918.607000,0,1096,0,3306597,yes,1.000000
42,PTRUP,315.000000,457.988000,0,606,0,3306597,yes,1.000000
41,PHOCH,315.000000,794.934000,0,932,0,3306597,yes,1.000000
40,PHITA,315.000000,770.870000,0,927,0,3306597,yes,1.000000
39,PHBON,315.000000,700.074000,0,871,0,3306597,yes,1.000000
38,PEPET,315.000000,405.939000,0,498,0,3306597,yes,1.000000
37,PAMAJ,315.000000,1378.511000,0,1626,0,3306597,yes,1.000000
36,PACRI,315.000000,1121.784000,0,1294,0,3306597,yes,1.000000
35,PACAE,315.000000,1058.286000,0,1290,0,3306597,yes,1.000000
34,PAATE,315.000000,1048.386000,0,1197,0,3306597,yes,1.000000
33,ORORI,315.000000,413.630000,0,584,0,3306597,yes,1.000000
32,OEHIS,315.000000,560.334000,0,644,0,3306597,yes,1.000000
31,MUSTR,315.000000,320.342000,0,432,0,3306597,yes,1.000000
30,MOSOL,315.000000,571.238000,0,679,0,3306597,yes,1.000000
29,MOSAX,315.000000,315.071000,0,382,0,3306597,yes,1.000000
28,MOCIN,315.000000,315.048000,0,432,0,3306597,yes,1.000000
27,MOALB,315.000000,498.394000,0,631,0,3306597,yes,1.000000
26,MEAPI,315.000000,584.488000,0,718,0,3306597,yes,1.000000
25,LUMEG,315.000000,897.959000,0,1112,0,3306597,yes,1.000000
24,LOCUR,315.000000,493.940000,0,585,0,3306597,yes,1.000000
23,LASEN,315.000000,550.659000,0,668,0,3306597,yes,1.000000
22,JYTOR,315.000000,315.096000,0,427,0,3306597,yes,1.000000
21,HIDAU,315.000000,315.187000,0,386,0,3306597,yes,1.000000
20,GAGLA,315.000000,1270.659000,0,1526,0,3306597,yes,1.000000
19,FRCOE,315.000000,1572.553000,0,1727,0,3306597,yes,1.000000
18,ERRUB,315.000000,1639.545000,0,1828,0,3306597,yes,1.000000
17,EMCIR,315.000000,1063.467000,0,1269,0,3306597,yes,1.000000
16,EMCIA,315.000000,740.824000,0,866,0,3306597,yes,1.000000
15,DEURB,315.000000,315.107000,0,463,0,3306597,yes,1.000000
14,DEMAJ,315.000000,747.749000,0,867,0,3306597,yes,1.000000
13,CORAX,315.000000,419.010000,0,587,0,3306597,yes,1.000000
12,COPAL,315.000000,1212.473000,0,1487,0,3306597,yes,1.000000
11,COOEN,315.000000,333.019000,0,446,0,3306597,yes,1.000000
10,CEBRA,315.000000,806.512000,0,1009,0,3306597,yes,1.000000
9,CAINA,315.000000,848.178000,0,1037,0,3306597,yes,1.000000
8,CACAR,315.000000,1224.871000,0,1471,0,3306597,yes,1.000000
7,BUBUT,315.000000,315.290000,0,471,0,3306597,yes,1.000000
6,APMEL,315.000000,330.532000,0,458,0,3306597,yes,1.000000
5,ANTRI,315.000000,578.647000,0,721,0,3306597,yes,1.000000
4,ALRUF,315.000000,518.425000,0,647,0,3306597,yes,1.000000
3,AECAU,315.000000,661.136000,0,812,0,3306597,yes,1.000000
2,ACNIS,315.000000,315.392000,0,454,0,3306597,yes,1.000000
1,ACGEN,315.000000,315.106000,0,419,0,3306597,yes,1.000000
