"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
79,TEURO,315.000000,315.360000,0,347,0,3306597,yes,1.000000
78,SYUND,315.000000,662.615000,0,769,0,3306597,yes,1.000000
77,PYRAX,315.000000,624.557000,0,753,0,3306597,yes,1.000000
76,PEAPI,315.000000,540.872000,0,703,0,3306597,yes,1.000000
75,OEURA,315.000000,315.196000,0,340,0,3306597,yes,1.000000
74,NEPER,315.000000,315.196000,0,393,0,3306597,yes,1.000000
73,MIMIL,315.000000,315.090000,0,394,0,3306597,yes,1.000000
72,MIMIG,315.000000,391.970000,0,543,0,3306597,yes,1.000000
71,LUARB,315.000000,507.366000,0,636,0,3306597,yes,1.000000
70,LACOL,315.000000,349.184000,0,422,0,3306597,yes,1.000000
69,HIPEN,315.000000,315.178000,0,399,0,3306597,yes,1.000000
68,HIFAS,315.000000,315.180000,0,367,0,3306597,yes,1.000000
67,GYFUL,315.000000,514.936000,0,629,0,3306597,yes,1.000000
66,GYBAR,315.000000,375.632000,0,458,0,3306597,yes,1.000000
65,GATHE,315.000000,381.946000,0,469,0,3306597,yes,1.000000
64,FAPER,315.000000,500.250000,0,648,0,3306597,yes,1.000000
63,EMHOR,315.000000,356.070000,0,427,0,3306597,yes,1.000000
62,DRMAR,315.000000,503.909000,0,603,0,3306597,yes,1.000000
61,CIGAL,315.000000,315.155000,0,437,0,3306597,yes,1.000000
60,CAEUR,315.000000,315.496000,0,437,0,3306597,yes,1.000000
59,BUBUB,315.000000,315.042000,0,418,0,3306597,yes,1.000000
58,AQCHR,315.000000,484.816000,0,606,0,3306597,yes,1.000000
57,ANCAM,315.000000,379.013000,0,467,0,3306597,yes,1.000000
56,TUPHI,315.000000,612.943000,0,736,0,3306597,yes,1.000000
55,TUMER,315.000000,1767.709000,0,2000,0,3306597,yes,1.000000
54,TRTRO,315.000000,1203.472000,0,1454,0,3306597,yes,1.000000
53,SYMEL,315.000000,1009.035000,0,1182,0,3306597,yes,1.000000
52,SYHOR,315.000000,340.816000,0,437,0,3306597,yes,1.000000
51,SYCOM,315.000000,323.004000,0,428,0,3306597,yes,1.000000
50,SYCAN,315.000000,367.667000,0,488,0,3306597,yes,1.000000
49,SYBOR,315.000000,315.001000,0,437,0,3306597,yes,1.000000
48,SYATR,315.000000,1143.055000,0,1371,0,3306597,yes,1.000000
47,STTUR,315.000000,675.362000,0,899,0,3306597,yes,1.000000
46,SIEUR,315.000000,519.034000,0,609,0,3306597,yes,1.000000
45,SESER,315.000000,1135.349000,0,1362,0,3306597,yes,1.000000
44,SATOR,315.000000,633.829000,0,867,0,3306597,yes,1.000000
43,REIGN,315.000000,897.421000,0,1075,0,3306597,yes,1.000000
42,PTRUP,315.000000,421.609000,0,562,0,3306597,yes,1.000000
41,PHOCH,315.000000,790.249000,0,935,0,3306597,yes,1.000000
40,PHITA,315.000000,734.129000,0,882,0,3306597,yes,1.000000
39,PHBON,315.000000,655.670000,0,816,0,3306597,yes,1.000000
38,PEPET,315.000000,392.519000,0,482,0,3306597,yes,1.000000
37,PAMAJ,315.000000,1323.681000,0,1560,0,3306597,yes,1.000000
36,PACRI,315.000000,1096.982000,0,1264,0,3306597,yes,1.000000
35,PACAE,315.000000,1014.243000,0,1238,0,3306597,yes,1.000000
34,PAATE,315.000000,1007.346000,0,1151,0,3306597,yes,1.000000
33,ORORI,315.000000,404.917000,0,570,0,3306597,yes,1.000000
32,OEHIS,315.000000,568.237000,0,655,0,3306597,yes,1.000000
31,MUSTR,315.000000,320.355000,0,430,0,3306597,yes,1.000000
30,MOSOL,315.000000,563.102000,0,670,0,3306597,yes,1.000000
29,MOSAX,315.000000,315.097000,0,385,0,3306597,yes,1.000000
28,MOCIN,315.000000,315.548000,0,431,0,3306597,yes,1.000000
27,MOALB,315.000000,478.126000,0,606,0,3306597,yes,1.000000
26,MEAPI,315.000000,602.938000,0,740,0,3306597,yes,1.000000
25,LUMEG,315.000000,853.774000,0,1058,0,3306597,yes,1.000000
24,LOCUR,315.000000,493.197000,0,581,0,3306597,yes,1.000000
23,LASEN,315.000000,554.775000,0,669,0,3306597,yes,1.000000
22,JYTOR,315.000000,315.080000,0,426,0,3306597,yes,1.000000
21,HIDAU,315.000000,315.377000,0,382,0,3306597,yes,1.000000
20,GAGLA,315.000000,1216.353000,0,1466,0,3306597,yes,1.000000
19,FRCOE,315.000000,1522.331000,0,1676,0,3306597,yes,1.000000
18,ERRUB,315.000000,1589.140000,0,1778,0,3306597,yes,1.000000
17,EMCIR,315.000000,1029.572000,0,1231,0,3306597,yes,1.000000
16,EMCIA,315.000000,672.285000,0,786,0,3306597,yes,1.000000
15,DEURB,315.000000,315.186000,0,463,0,3306597,yes,1.000000
14,DEMAJ,315.000000,742.344000,0,862,0,3306597,yes,1.000000
13,CORAX,315.000000,401.976000,0,564,0,3306597,yes,1.000000
12,COPAL,315.000000,1162.633000,0,1419,0,3306597,yes,1.000000
11,COOEN,315.000000,336.530000,0,456,0,3306597,yes,1.000000
10,CEBRA,315.000000,760.978000,0,956,0,3306597,yes,1.000000
9,CAINA,315.000000,844.539000,0,1032,0,3306597,yes,1.000000
8,CACAR,315.000000,1207.417000,0,1452,0,3306597,yes,1.000000
7,BUBUT,315.000000,315.108000,0,470,0,3306597,yes,1.000000
6,APMEL,315.000000,316.652000,0,437,0,3306597,yes,1.000000
5,ANTRI,315.000000,567.715000,0,711,0,3306597,yes,1.000000
4,ALRUF,315.000000,516.481000,0,647,0,3306597,yes,1.000000
3,AECAU,315.000000,633.309000,0,784,0,3306597,yes,1.000000
2,ACNIS,315.000000,315.149000,0,455,0,3306597,yes,1.000000
