spid,penalty
1,381
2,429
3,347
4,351
5,348
6,388
7,411
8,346
9,352
10,353
11,373
12,349
13,412
14,335
15,400
16,341
17,338
18,335
19,331
20,342
21,343
22,371
23,338
24,332
25,344
26,348
27,357
28,393
29,332
30,338
31,369
32,333
33,400
34,336
35,348
36,338
37,338
38,344
39,350
40,344
41,342
42,373
43,345
44,366
45,346
46,334
47,359
48,343
49,401
50,367
51,370
52,351
53,338
54,349
55,339
56,341
57,339
58,350
59,382
60,388
61,403
62,332
63,335
64,382
65,340
66,329
67,343
68,331
69,345
70,335
71,354
72,380
73,344
74,355
75,322
76,369
77,336
78,337
79,326
