"planning_unit","number"
78340,0
78339,2
78050,0
78049,0
78048,0
78047,0
77761,0
77760,1
77759,0
77758,0
77757,1
77756,1
77755,0
77471,0
77470,0
77469,0
77468,1
77467,9
77466,1
77465,6
77464,0
77194,0
77193,0
77192,0
77191,0
77190,0
77182,0
77181,2
77180,1
77179,2
77178,8
77177,1
77176,0
77175,1
77174,0
76905,0
76904,1
76903,0
76902,0
76901,1
76900,0
76899,0
76898,1
76893,3
76892,0
76891,0
76890,0
76889,6
76888,1
76887,6
76886,0
76885,0
76884,0
76616,2
76615,1
76614,0
76613,0
76612,0
76609,0
76603,1
76602,1
76601,1
76600,4
76599,8
76598,1
76597,3
76596,0
76595,0
76594,0
76314,1
76313,1
76312,0
76311,2
76310,9
76309,10
76308,8
76307,1
76306,0
76305,0
76304,0
76303,0
76302,0
76038,0
76025,0
76024,0
76023,1
76022,3
76021,2
76020,2
76019,8
76018,0
76017,3
76016,0
76015,0
76014,0
76013,0
76012,1
75736,0
75735,1
75734,1
75733,3
75732,1
75731,0
75730,1
75729,1
75728,0
75727,0
75726,0
75725,0
75724,1
75723,0
75722,1
75721,1
75720,2
75718,1
75447,1
75446,0
75445,1
75444,0
75443,1
75442,7
75441,9
75440,2
75439,2
75438,0
75437,0
75436,0
75435,0
75434,2
75433,2
75432,0
75431,0
75430,0
75429,2
75428,0
75427,0
75426,0
75425,0
75170,0
75163,0
75162,1
75161,1
75159,0
75158,2
75157,0
75156,0
75155,0
75154,1
75153,0
75152,1
75151,1
75150,2
75149,0
75148,0
75147,2
75146,7
75145,1
75144,4
75143,9
75142,0
75141,0
75140,1
75139,0
75138,0
75137,2
75136,2
75135,0
75134,0
75133,2
74881,1
74880,0
74879,4
74878,0
74877,0
74876,0
74875,1
74874,0
74873,0
74872,0
74871,0
74870,0
74869,1
74868,0
74867,0
74866,0
74865,8
74864,2
74863,1
74862,3
74861,1
74860,0
74859,2
74858,0
74857,6
74856,0
74855,2
74854,1
74853,1
74852,2
74851,0
74850,1
74849,0
74848,0
74847,0
74846,1
74845,2
74844,1
74843,0
74842,1
74841,0
74592,0
74591,0
74590,1
74589,0
74588,0
74587,0
74586,0
74585,0
74584,0
74583,1
74582,0
74581,0
74580,1
74579,0
74578,0
74577,0
74576,0
74575,2
74574,1
74573,3
74572,2
74571,1
74570,1
74569,3
74568,1
74567,0
74566,5
74565,0
74564,1
74563,0
74562,2
74561,0
74560,1
74559,0
74558,0
74557,1
74556,0
74555,2
74554,1
74553,0
74552,0
74551,0
74550,0
74304,0
74303,0
74302,0
74301,0
74300,2
74299,0
74298,0
74297,1
74296,0
74295,0
74294,0
74293,0
74292,0
74291,0
74290,0
74289,1
74288,0
74287,0
74286,6
74285,2
74284,1
74283,0
74282,1
74281,0
74280,0
74279,1
74278,1
74277,0
74276,3
74275,0
74274,2
74273,0
74272,0
74271,0
74270,0
74269,0
74268,0
74267,0
74266,3
74265,1
74264,1
74263,0
74262,1
74261,0
74260,4
74015,0
74014,0
74013,0
74012,3
74011,2
74010,1
74009,0
74008,5
74007,0
74006,0
74005,1
74004,0
74003,0
74002,0
74001,1
74000,2
73999,2
73998,1
73997,0
73996,0
73995,0
73994,0
73993,2
73992,0
73991,0
73990,1
73989,0
73988,2
73987,1
73986,0
73985,0
73984,0
73983,0
73982,0
73981,0
73980,0
73979,0
73978,1
73977,2
73976,0
73975,0
73974,0
73973,0
73972,2
73971,1
73970,1
73728,0
73727,0
73726,1
73725,0
73724,0
73723,4
73722,0
73721,1
73720,1
73719,0
73718,0
73717,0
73716,0
73715,0
73714,0
73713,1
73712,0
73711,0
73710,0
73709,2
73708,0
73707,0
73706,0
73705,0
73704,2
73703,3
73702,2
73701,0
73700,1
73699,1
73698,0
73697,0
73696,1
73695,0
73694,0
73693,0
73692,0
73691,0
73690,0
73689,0
73688,0
73687,1
73686,0
73685,0
73684,0
73683,0
73682,6
73681,4
73439,1
73438,1
73437,0
73436,0
73435,0
73434,0
73433,1
73432,1
73431,0
73430,1
73429,0
73428,1
73427,2
73426,0
73425,1
73424,0
73423,0
73422,0
73421,2
73420,1
73419,2
73418,1
73417,1
73416,1
73415,1
73414,6
73413,0
73412,2
73411,1
73410,0
73409,1
73408,0
73407,0
73406,0
73405,0
73404,0
73403,0
73402,0
73401,0
73400,0
73399,0
73398,0
73397,0
73396,0
73395,0
73394,2
73393,3
73392,1
73150,0
73149,0
73148,0
73147,0
73146,0
73145,0
73144,0
73143,0
73142,1
73141,4
73140,0
73139,0
73138,0
73137,0
73136,1
73135,0
73134,0
73133,1
73132,0
73131,0
73130,3
73129,0
73128,0
73127,0
73126,0
73125,1
73124,1
73123,0
73122,0
73121,2
73120,0
73119,3
73118,0
73117,0
73116,0
73115,0
73114,1
73113,0
73112,0
73111,0
73110,0
73109,0
73108,0
73107,0
73106,0
73105,0
73104,1
73103,2
73102,1
72861,0
72860,0
72859,0
72858,0
72857,0
72856,1
72855,0
72854,1
72853,0
72852,0
72851,1
72850,0
72849,0
72848,0
72847,2
72846,1
72845,0
72844,0
72843,0
72842,0
72841,0
72840,0
72839,0
72838,0
72837,1
72836,1
72835,0
72834,0
72833,0
72832,0
72831,0
72830,1
72829,0
72828,0
72827,2
72826,0
72825,0
72824,0
72823,2
72822,0
72821,0
72820,0
72819,0
72818,0
72817,0
72816,2
72815,1
72814,2
72813,0
72812,1
72811,2
72571,0
72570,0
72569,0
72568,0
72567,0
72566,0
72565,0
72564,2
72563,0
72562,0
72561,1
72560,0
72559,0
72558,1
72557,0
72556,0
72555,0
72554,0
72553,0
72552,0
72551,0
72550,1
72549,0
72548,0
72547,0
72546,0
72545,1
72544,1
72543,0
72542,1
72541,0
72540,0
72539,0
72538,0
72537,0
72536,0
72535,0
72534,0
72533,0
72532,0
72531,2
72530,0
72529,2
72528,0
72527,0
72526,1
72525,1
72524,1
72523,1
72522,0
72521,1
72520,2
72281,0
72279,2
72278,1
72277,0
72276,0
72275,0
72274,0
72273,0
72272,0
72271,0
72270,1
72269,1
72268,0
72267,0
72266,0
72265,0
72264,0
72263,0
72262,0
72261,0
72260,1
72259,0
72258,0
72257,0
72256,0
72255,1
72254,1
72253,1
72252,0
72251,0
72250,0
72249,0
72248,1
72247,0
72246,0
72245,0
72244,0
72243,1
72242,0
72241,0
72240,0
72239,0
72238,0
72237,0
72236,1
72235,0
72234,0
72233,0
72232,0
72231,0
72230,0
72229,1
72228,2
72227,2
71987,1
71986,0
71985,0
71984,0
71983,0
71982,1
71981,1
71980,2
71979,1
71978,0
71977,0
71976,0
71975,0
71974,0
71973,2
71972,1
71971,0
71970,0
71969,0
71968,0
71967,0
71966,0
71965,0
71964,0
71963,1
71962,0
71961,0
71960,0
71959,0
71958,0
71957,0
71956,0
71955,0
71954,0
71953,0
71952,0
71951,0
71950,0
71949,1
71948,0
71947,1
71946,2
71945,0
71944,1
71943,0
71942,0
71941,1
71940,1
71939,1
71938,3
71937,1
71696,1
71695,1
71694,1
71693,0
71692,0
71691,1
71690,0
71689,0
71688,0
71687,0
71686,1
71685,0
71684,0
71683,0
71682,3
71681,0
71680,0
71679,1
71678,1
71677,0
71676,0
71675,0
71674,0
71673,0
71672,1
71671,0
71670,0
71669,0
71668,0
71667,0
71666,0
71665,0
71664,0
71663,0
71662,0
71661,0
71660,0
71659,0
71658,0
71657,1
71656,1
71655,1
71654,0
71653,0
71652,1
71651,0
71650,0
71649,4
71648,0
71647,0
71644,2
71405,0
71404,2
71403,0
71402,0
71401,0
71400,0
71399,0
71398,0
71397,0
71396,0
71395,0
71394,0
71393,1
71392,0
71391,0
71390,0
71389,0
71388,0
71387,1
71386,2
71385,0
71384,0
71383,0
71382,1
71381,0
71380,0
71379,2
71378,0
71377,0
71376,0
71375,0
71374,0
71373,0
71372,0
71371,0
71370,0
71369,1
71368,1
71367,1
71366,1
71365,1
71364,1
71363,0
71362,0
71361,0
71360,0
71359,0
71358,0
71357,2
71356,3
71355,2
71354,2
71353,1
71352,1
71115,0
71114,4
71113,1
71112,1
71111,1
71110,0
71109,0
71108,0
71107,0
71106,0
71105,0
71104,1
71103,0
71102,0
71101,1
71100,1
71099,0
71098,1
71097,0
71096,1
71095,1
71094,1
71093,0
71092,0
71091,0
71090,0
71089,0
71088,0
71087,0
71086,0
71085,0
71084,0
71083,0
71082,0
71081,2
71080,0
71079,1
71078,8
71077,0
71076,1
71075,1
71074,0
71073,3
71072,1
71071,1
71070,0
71069,1
71068,0
71067,1
71066,1
71065,1
71064,2
71063,1
70824,0
70823,0
70819,0
70818,0
70817,0
70816,0
70815,4
70814,1
70813,0
70812,0
70811,0
70810,0
70809,0
70808,0
70807,2
70806,0
70805,0
70804,0
70803,0
70802,0
70801,0
70800,0
70799,1
70798,0
70797,0
70796,0
70795,0
70794,0
70793,0
70792,0
70791,0
70790,0
70789,1
70788,9
70787,2
70786,0
70785,2
70784,1
70783,0
70782,1
70781,0
70780,0
70779,1
70778,1
70777,3
70776,0
70775,2
70774,1
70528,0
70527,1
70526,0
70525,2
70524,2
70523,0
70522,0
70521,1
70520,0
70519,0
70518,0
70517,0
70516,2
70515,2
70514,0
70513,0
70512,0
70511,0
70510,1
70509,1
70508,0
70507,0
70506,0
70505,0
70504,0
70503,0
70502,0
70501,1
70500,8
70499,1
70498,2
70497,2
