spname,spindex,totalarea,reservedarea,excludedarea,targetarea,totalocc,reservedocc,excludedocc,targetocc
26,0,159757,0,0,79878.5,303,0,0,0
25,1,839.606,0,0,167.921,21,0,0,0
24,2,2086.27,0,0,417.254,99,0,0,0
23,3,1113.86,0,0,222.771,89,0,0,0
22,4,470.749,0,0,94.1498,55,0,0,0
21,5,252.153,0,0,50.4306,42,0,0,0
20,6,20000,0,0,4000,2,0,0,0
19,7,80000,0,0,16000,7,0,0,0
18,8,30000,0,0,6000,1,0,0,0
17,9,150000,0,0,30000,14,0,0,0
16,10,10000,0,0,2000,1,0,0,0
15,11,110000,0,0,22000,8,0,0,0
14,12,170000,0,0,34000,14,0,0,0
13,13,70000,0,0,14000,5,0,0,0
12,14,40000,0,0,8000,3,0,0,0
11,15,10000,0,0,2000,1,0,0,0
10,16,10000,0,0,2000,1,0,0,0
9,17,1.527e+007,0,0,3.054e+006,11,0,0,0
8,18,1.55863e+009,0,0,3.11726e+008,71,0,0,0
7,19,1.41523e+009,0,0,2.83046e+008,84,0,0,0
6,20,1.0969e+008,0,0,2.1938e+007,43,0,0,0
5,21,1.726e+007,0,0,3.452e+006,18,0,0,0
4,22,1.458e+007,0,0,2.916e+006,23,0,0,0
3,23,1.713e+007,0,0,3.426e+006,5,0,0,0
2,24,1.7408e+008,0,0,3.4816e+007,26,0,0,0
1,25,7.9138e+008,0,0,1.58276e+008,57,0,0,0
