"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
26,,79878.500000,80115.463138,0,57,0,0,yes,1.000000
25,,167.921300,172.219000,0,3,0,0,yes,1.000000
24,,417.253680,419.643000,0,19,0,0,yes,1.000000
23,,222.771060,224.302000,0,17,0,0,yes,1.000000
22,,94.149760,95.485000,0,11,0,0,yes,1.000000
21,,50.430578,50.641300,0,8,0,0,yes,1.000000
20,,4000.000000,20000.000000,0,2,0,0,yes,1.000000
19,,16000.000000,20000.000000,0,2,0,0,yes,1.000000
18,,6000.000000,30000.000000,0,1,0,0,yes,1.000000
17,,30000.000000,30000.000000,0,2,0,0,yes,1.000000
16,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
15,,22000.000000,50000.000000,0,3,0,0,yes,1.000000
14,,34000.000000,60000.000000,0,4,0,0,yes,1.000000
13,,14000.000000,40000.000000,0,2,0,0,yes,1.000000
12,,8000.000000,10000.000000,0,1,0,0,yes,1.000000
11,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
10,,2000.000000,10000.000000,0,1,0,0,yes,1.000000
9,,3054000.000000,6170000.000000,0,1,0,0,yes,1.000000
8,,311726000.000000,408690000.000000,0,14,0,0,yes,1.000000
7,,283046000.000000,652260000.000000,0,16,0,0,yes,1.000000
6,,21938000.000000,24650000.000000,0,5,0,0,yes,1.000000
5,,3452000.000000,6960000.000000,0,4,0,0,yes,1.000000
4,,2916000.000000,4610000.000000,0,10,0,0,yes,1.000000
3,,3426000.000000,10190000.000000,0,4,0,0,yes,1.000000
2,,34816000.000000,37630000.000000,0,4,0,0,yes,1.000000
1,,158276000.000000,354740000.000000,0,10,0,0,yes,1.000000
