"planning_unit","number"
321,6
320,3
319,46
318,14
317,100
316,25
315,30
314,6
313,25
312,3
311,0
310,8
309,6
308,10
307,9
306,1
305,7
304,79
303,13
302,5
301,20
300,8
299,20
298,12
297,11
296,7
295,11
294,32
293,9
292,12
291,19
290,14
289,8
288,26
287,7
286,8
285,8
284,12
283,7
282,5
281,21
280,8
279,27
278,6
277,15
276,15
275,11
274,7
273,21
272,28
271,4
270,7
269,5
268,5
267,21
266,11
265,8
264,18
263,7
262,20
261,57
260,22
259,18
258,9
257,6
256,9
255,24
254,17
253,9
252,12
251,8
250,6
249,16
248,6
247,70
246,5
245,18
244,18
243,0
242,14
241,21
240,1
239,10
238,21
237,45
236,5
235,5
234,5
233,2
232,4
231,28
230,20
229,6
228,19
227,1
226,12
225,9
224,15
223,17
222,17
221,18
220,17
219,0
218,6
217,27
216,11
215,12
214,6
213,9
212,10
211,7
210,10
209,13
208,13
207,9
206,20
205,29
204,16
203,27
202,41
201,48
200,29
199,82
198,67
197,39
196,62
195,79
194,52
193,41
192,76
191,86
190,49
189,62
188,15
187,5
186,11
185,89
184,9
183,8
182,9
181,5
180,12
179,9
178,40
177,0
176,7
175,9
174,28
173,16
172,6
171,10
170,21
169,16
168,12
167,3
166,10
165,28
164,3
163,25
162,12
161,17
160,5
159,21
158,21
157,20
156,20
155,6
154,9
153,9
152,15
151,5
150,13
149,17
148,9
147,6
146,0
145,11
144,10
143,100
142,9
141,4
140,11
139,8
138,4
137,10
136,14
135,2
134,5
133,20
132,12
131,9
130,11
129,33
128,15
127,5
126,6
125,26
124,24
123,14
122,32
121,31
120,23
119,40
118,33
117,7
116,6
115,6
114,7
113,5
112,9
111,9
110,16
109,5
108,14
107,31
106,11
105,9
104,18
103,39
102,11
101,17
100,21
99,6
98,6
97,11
96,19
95,15
94,16
93,9
92,7
91,6
90,59
89,7
88,12
87,12
86,18
85,12
84,6
83,11
82,28
81,9
80,5
79,3
78,88
77,7
76,77
75,11
74,5
73,17
72,8
71,0
70,7
69,5
68,8
67,12
66,68
65,0
64,6
63,7
62,6
61,7
60,16
59,5
58,4
57,15
56,14
55,0
54,7
53,0
52,30
51,0
50,15
49,16
48,94
47,11
46,16
45,3
44,96
43,96
42,5
41,7
40,18
39,15
38,23
37,0
36,14
35,17
34,9
33,68
32,4
31,17
30,19
29,13
28,10
27,0
26,15
25,22
24,13
23,14
22,8
21,22
20,18
19,27
18,11
17,90
16,7
15,5
14,33
13,9
12,14
11,100
10,10
9,6
8,76
7,28
6,38
5,100
4,30
3,10
2,13
1,100
