name,value
solver time,5219.792223215103
total time,6093.220939159393
objective value,159244.39244836004
gap,0.00910784735195186
total cost,1166.0
input,../data/BCMCA_input_data/EC
output,../tests/BCMCA/brandt/gap005-costcon-ec-bestSpec-cost150
strategy,cost-con
blm,
complete_graph,False
mc,False
metric,['ec']
metric_weight,1.0
cost_weight,150.0
pu_data,../data/BCMCA_input_data/EC/quality.csv
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
habitat_edgelist,['../data/BCMCA_input_data/EC/resistance.csv']
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
