name,value
solver time,0.13309121131896973
total time,67.98569250106812
objective value,1166.0
gap,0.0
total cost,1166.0
input,../data/BCMCA_input_data/EC
output,../tests/BCMCA/brandt/gap005-bestSpec-cf-BetCent-nogap
strategy,cf
blm,
complete_graph,True
mc,False
metric,['betcent']
pu_data,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
metric_prop,0.2
metric_target,
con_matrix,
con_edgelist,
habitat_edgelist,['../data/BCMCA_input_data/EC/resistance.csv']
gap,
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
