name,value
solver time,553.5838620662689
total time,1425.6754710674286
objective value,1191.0
gap,0.020990764063811923
total cost,1191.0
input,../data/BCMCA_input_data/EC
output,../tests/BCMCA/brandt/gap005-bestSpec-cf-ec
strategy,cf
blm,
complete_graph,False
mc,False
metric,['ec']
pu_data,../data/BCMCA_input_data/EC/quality.csv
metric_min,
metric_min_type,
metric_max,
metric_max_type,
metric_prop,0.2
metric_target,
con_matrix,
con_edgelist,
habitat_edgelist,['../data/BCMCA_input_data/EC/resistance.csv']
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
