data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
1,ec,45655.1327735632,0.0002387774594078,1024.0,0.0002387774594078,1024.0,0,43222.733758959155,0.49165908816724857
1,betcent,1328176.9999999998,0.0,38472.55624251752,0.0,38472.55624251752,0,1137691.6345515756,3830.6115641467195
2,ec,1.2490090743946443,0.0013736263736263,0.5,0.0013736263736263,0.5,0,0.08738726542709419,0.004369363271354709
2,betcent,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
3,ec,22563215.169473268,0.0024213075060532,1024.0,0.0024213075060532,1024.0,0,17813086.69482522,69.43536222070937
3,betcent,56708.0,0.0,1374.6011249387304,0.0,1374.6011249387304,0,23769.59409302657,47.068503154508065
4,ec,6958.8201398516385,0.0009066183136899,1024.0,0.0009066183136899,1024.0,0,0.6206893918194925,0.011083739139633795
4,betcent,61.99999999999999,0.0,16.5,0.0,16.5,0,2.0,0.4
17,ec,2.3527206654788047,0.000209775540172,0.2689075630252096,0.000209775540172,0.2689075630252096,0,0.0300356739148008,0.00150178369574004
17,betcent,20.0,0.0,6.666666666666666,0.0,6.666666666666666,0,0.5,0.25
19,ec,4874.003320814763,0.007582938388624,2.0,0.007582938388624,2.0,0,2274.000121451355,0.04634951941321909
19,betcent,158566.00000000003,0.0,27106.050746590063,0.0,27106.050746590063,0,138279.2077718847,622.879314287769
20,ec,19459.301250987628,0.0013373453694416,2.0,0.0013373453694416,2.0,0,7314.868964928877,0.1819619145504696
20,betcent,32738.0,0.0,1547.6434688802444,0.0,1547.6434688802444,0,31542.494998175982,156.9278358118208
