features,total,target,reached,overshot
1,791380000,158276000,329990000,171714000
2,174080000,34816000,37300000,2484000
3,17130000,3426000,17130000,13704000
4,14580000,2916000,4150000,1234000
5,17260000,3452000,6510000,3058000
6,109690000,21938000,25860000,3922000
7,1415230000,283046000,711060000,428014000
8,1558630000,311726000,351050000,39324000
9,15270000,3054000,6170000,3116000
10,10000,2000,10000,8000
11,10000,2000,10000,8000
12,40000,8000,10000,2000
13,70000,14000,20000,6000
14,170000,34000,90000,56000
15,110000,22000,70000,48000
16,10000,2000,10000,8000
17,150000,30000,30000,0
18,30000,6000,30000,24000
19,80000,16000,20000,4000
20,20000,4000,20000,16000
21,252.1529,50.430578,50.5224,0.0918220000000076
22,470.7488,94.14976,96.2702,2.12044
23,1113.857,222.77106,224.235,1.46393999999998
24,2086.27,417.25368,417.706,0.452319999999986
25,839.606,167.9213,181.878,13.9567
,,,,666750018.085222
