con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,164.0,0.0,18.85079302564227,0.0,18.85079302564227,0,152.41413707413864,7.620706853706932
1,bc,33779.0,0.0,6098.33129776718,0.0,6098.33129776718,0,7719.944115530909,188.29131989099778
2,bc,36.0,0.0,9.096825396825396,0.0,9.096825396825396,0,19.721825396825395,2.8174036281179133
3,bc,51639.99999999999,0.0,1708.2237865947857,0.0,1708.2237865947857,0,15645.84457852936,422.8606642845773
4,bc,15816.000000000002,0.0,683.9359477124185,0.0,683.9359477124185,0,5031.508822212098,135.9867249246513
5,bc,178.0,0.0,45.0,0.0,45.0,0,90.0,12.857142857142858
6,bc,160.0,0.0,3.978644808798935,0.0,3.978644808798935,0,116.57180369131574,2.8432147241784325
7,bc,26586.000000000004,0.0,1702.7186834366962,0.0,1702.7186834366962,0,5832.454483079449,216.01683270664628
8,bc,47379.0,0.0,1938.8960355366191,0.0,1938.8960355366191,0,12998.264181676052,173.31018908901402
9,bc,14672.0,0.0,851.8052846649589,0.0,851.8052846649589,0,6920.093698943504,123.57310176684828
10,bc,64513.0,0.0,3004.7054267044327,0.0,3004.7054267044327,0,8303.635951963939,345.9848313318308
11,bc,60533.0,0.0,3167.280653344588,0.0,3167.280653344588,0,20364.139587846024,363.64534978296473
12,bc,42535.0,0.0,1965.6836317882055,0.0,1965.6836317882055,0,6907.709801790158,238.196889716902
13,bc,9434.0,0.0,1102.9923463981631,0.0,1102.9923463981631,0,3542.530424418096,95.74406552481341
14,bc,32771.0,0.0,1230.3511324482265,0.0,1230.3511324482265,0,9614.40346118686,223.59077816713625
