con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,2069.9999999999995,0.0,71.5355921855922,0.0,71.5355921855922,0,2054.6333333333337,27.76531531531532
1,bc,26510.0,0.0,232.20888979218114,0.0,232.20888979218114,0,26483.609719423795,100.31670348266589
2,bc,2680.0,0.0,101.19684204684205,0.0,101.19684204684205,0,2675.8584249084256,31.85545743938602
3,bc,26949.0,0.0,246.85243683137722,0.0,246.85243683137722,0,26913.437187507196,101.56014033021583
4,bc,26963.0,0.0,234.31595038224606,0.0,234.31595038224606,0,26963.0,101.74716981132076
5,bc,1206.0,0.0,71.42158791052651,0.0,71.42158791052651,0,1201.583333333333,21.456845238095234
6,bc,7041.0,0.0,140.69092980168702,0.0,140.69092980168702,0,7020.3365079365085,52.002492651381544
7,bc,23550.0,0.0,269.7956838116632,0.0,269.7956838116632,0,23530.79821110262,94.50119763495029
8,bc,40876.0,0.0,283.2783997823634,0.0,283.2783997823634,0,36982.10976277658,136.46534967814236
9,bc,18954.0,0.0,192.8558060375011,0.0,192.8558060375011,0,18943.144761774172,84.5676105436347
10,bc,32696.0,0.0,252.24278887056371,0.0,252.24278887056371,0,32010.507155188716,118.55743390810636
11,bc,27601.0,0.0,233.30631961885805,0.0,233.30631961885805,0,27585.66899726091,103.31711234929179
12,bc,25167.0,0.0,232.78034218136187,0.0,232.78034218136187,0,25157.4769008769,97.88901517850934
13,bc,23869.0,0.0,211.47643595138024,0.0,211.47643595138024,0,23858.88027764719,95.05529991094498
14,bc,24108.0,0.0,241.16585323787368,0.0,241.16585323787368,0,24093.47329208889,95.60902100035274
