name,value
solver_time,5.059969902038574
total_time,19.717622756958008
obj_value,17040.032885104793
gap_to_opt,0.0010178346305552686
total_cost,18382.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability25-noquality
output,../tests/brandt/congen/02-400x400-15features-seed0-edgeprobability25-noquality/bc-CC
metric,['bc']
metric_weight,1.0
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability25-noquality/resistance.csv']
pu_data,
complete_graph,
