name,value
solver_time,16.73090887069702
total_time,30.16480040550232
obj_value,437.9671673375771
gap_to_opt,0.025275101795081797
total_cost,18216.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability25-noquality
output,../tests/brandt/congen/02-400x400-15features-seed0-edgeprobability25-noquality/bc-CON
metric,['bc']
max_cost,18216.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability25-noquality/resistance.csv']
pu_data,
complete_graph,
