con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,2069.9999999999995,0.0,71.5355921855922,0.0,71.5355921855922,413.99999999999994,445.23141996891997,31.802244283494282
1,bc,26510.0,0.0,232.20888979218114,0.0,232.20888979218114,5302.0,5490.981787710659,105.59580360982036
2,bc,2680.0,0.0,101.19684204684205,0.0,101.19684204684205,536.0,594.4316613941614,39.62877742627743
3,bc,26949.0,0.0,246.85243683137722,0.0,246.85243683137722,5389.8,5688.561297604978,109.3954095693265
4,bc,26963.0,0.0,234.31595038224606,0.0,234.31595038224606,5392.6,5618.903223493468,108.05583122102824
5,bc,1206.0,0.0,71.42158791052651,0.0,71.42158791052651,241.20000000000002,277.02984309665896,23.085820258054913
6,bc,7041.0,0.0,140.69092980168702,0.0,140.69092980168702,1408.2,1476.8883489782067,59.07553395912827
7,bc,23550.0,0.0,269.7956838116632,0.0,269.7956838116632,4710.0,4934.0812662082135,94.8861781963118
8,bc,40876.0,0.0,283.2783997823634,0.0,283.2783997823634,8175.200000000001,8336.157142074588,160.31071427066516
9,bc,18954.0,0.0,192.8558060375011,0.0,192.8558060375011,3790.8,4237.780102499475,111.52052901314408
10,bc,32696.0,0.0,252.24278887056371,0.0,252.24278887056371,6539.200000000001,6768.746579193276,130.16820344602453
11,bc,27601.0,0.0,233.30631961885805,0.0,233.30631961885805,5520.200000000001,5815.312629230482,111.83293517750927
12,bc,25167.0,0.0,232.78034218136187,0.0,232.78034218136187,5033.400000000001,5480.698284428222,105.39804393131196
13,bc,23869.0,0.0,211.47643595138024,0.0,211.47643595138024,4773.8,5302.523446571783,101.97160474176506
14,bc,24108.0,0.0,241.16585323787368,0.0,241.16585323787368,4821.6,5333.105794985039,102.55972682663537
