name,value
solver_time,3.5870234966278076
total_time,15.633522033691406
obj_value,18222.0
gap_to_opt,0.0012073317967292285
total_cost,18222.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability50-noquality
output,../tests/brandt/congen/03-400x400-15features-seed0-edgeprobability50-noquality/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-edgeprobability50-noquality/resistance.csv']
pu_data,
complete_graph,
