con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,52138.0,0.0,1145.4834707169705,0.0,1145.4834707169705,0,51925.3994431094,213.68477137082058
1,bc,37236.0,0.0,1111.0128887061435,0.0,1111.0128887061435,0,36744.436530759674,170.11313208685036
2,bc,60322.0,0.0,937.6177390731947,0.0,937.6177390731947,0,58869.34759865664,240.28305142308832
3,bc,55217.0,0.0,1178.0370783705143,0.0,1178.0370783705143,0,54521.31495773484,223.44801212186408
4,bc,46098.99999999999,0.0,793.2667813991727,0.0,793.2667813991727,0,45578.00667206676,192.31226443910026
5,bc,92391.0,0.0,1609.0517880203054,0.0,1609.0517880203054,0,83324.357260288,337.345575952583
6,bc,67370.0,0.0,2551.7311229736088,0.0,2551.7311229736088,0,66344.9909375585,270.7958813777898
7,bc,66050.0,0.0,1496.279883102831,0.0,1496.279883102831,0,62573.70521282019,255.40287841967424
8,bc,35949.0,0.0,644.2714637420571,0.0,644.2714637420571,0,35589.90272280861,178.84373227542017
9,bc,39289.99999999999,0.0,1058.761933403428,0.0,1058.761933403428,0,38501.96517493752,158.4443011314301
10,bc,47466.00000000001,0.0,910.8793011481548,0.0,910.8793011481548,0,47302.70999960152,197.09462499833964
11,bc,38778.0,0.0,1317.47373029503,0.0,1317.47373029503,0,38012.29912332026,186.33479962411894
12,bc,46010.0,0.0,1548.0140596875292,0.0,1548.0140596875292,0,45197.28681718717,195.65925029085355
13,bc,39547.0,0.0,1923.1423380128997,0.0,1923.1423380128997,0,38876.30613949431,197.34165553042794
14,bc,23352.0,0.0,457.33727716565267,0.0,457.33727716565267,0,23283.8060436912,118.79492879434285
