name,value
solver_time,3.627377510070801
total_time,15.153266668319702
obj_value,17736.756121823862
gap_to_opt,0.0011334160313518555
total_cost,18374.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-lowvalue-noquality
output,../tests/brandt/congen/04-400x400-15features-seed0-lowvalue-noquality/bc-CC
metric,['bc']
metric_weight,1.0
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-lowvalue-noquality/probability.csv']
pu_data,
complete_graph,mean
