con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,52138.0,0.0,1145.4834707169705,0.0,1145.4834707169705,0,24128.130729866552,354.82545190980227
1,bc,37236.0,0.0,1111.0128887061435,0.0,1111.0128887061435,0,17000.871149801464,250.0128110264921
2,bc,60322.0,0.0,937.6177390731947,0.0,937.6177390731947,0,23767.958536305607,349.5288020044942
3,bc,55217.0,0.0,1178.0370783705143,0.0,1178.0370783705143,0,24212.445902752224,356.0653809228268
4,bc,46098.99999999999,0.0,793.2667813991727,0.0,793.2667813991727,0,19589.689965145662,288.08367595802446
5,bc,92391.0,0.0,1609.0517880203054,0.0,1609.0517880203054,0,26028.86805094579,377.22997175283757
6,bc,67370.0,0.0,2551.7311229736088,0.0,2551.7311229736088,0,25254.37066276132,371.3878038641371
7,bc,66050.0,0.0,1496.279883102831,0.0,1496.279883102831,0,22890.493138691247,336.6248990984007
8,bc,35949.0,0.0,644.2714637420571,0.0,644.2714637420571,0,12768.737773206554,187.7755554883317
9,bc,39289.99999999999,0.0,1058.761933403428,0.0,1058.761933403428,0,14139.55047724565,207.93456584184779
10,bc,47466.00000000001,0.0,910.8793011481548,0.0,910.8793011481548,0,21224.456298474997,312.12435733051467
11,bc,38778.0,0.0,1317.47373029503,0.0,1317.47373029503,0,19010.530341275426,279.5666226658151
12,bc,46010.0,0.0,1548.0140596875292,0.0,1548.0140596875292,0,20347.893366982717,299.23372598503994
13,bc,39547.0,0.0,1923.1423380128997,0.0,1923.1423380128997,0,20442.486292629656,300.62479842102437
14,bc,23352.0,0.0,457.33727716565267,0.0,457.33727716565267,0,9458.606784783844,139.09715859976242
