name,value
solver_time,4.836033344268799
total_time,19.245745420455933
obj_value,263.69549693060804
gap_to_opt,0.04334892163529167
total_cost,18227.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-lowvalue-noquality
output,../tests/brandt/congen/04-400x400-15features-seed0-lowvalue-noquality/bc-CON
metric,['bc']
max_cost,18227.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-lowvalue-noquality/probability.csv']
pu_data,
complete_graph,mean
