features,total,target,reached
0,11805868.0,2361173.6,2361330.0
1,16331090.0,3266218.0,3266273.0
2,13689603.0,2737920.6,2738117.0
3,16426793.0,3285358.6,3285510.0
4,14762233.0,2952446.6,2952541.0
5,11533419.0,2306683.8000000003,2306773.0
6,11334592.0,2266918.4,2266921.0
7,13151836.0,2630367.2,2630465.0
8,16204552.0,3240910.4000000004,3241088.0
9,13803524.0,2760704.8000000003,2760976.0
10,16749138.0,3349827.6,3349996.0
11,16028729.0,3205745.8000000003,3205756.0
12,16433359.0,3286671.8000000003,3287662.0
13,15641537.0,3128307.4000000004,3128323.0
14,16312521.0,3262504.2,3262512.0
