con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,52138.0,0.0,1145.4834707169705,0.0,1145.4834707169705,10427.6,11916.220621663208,313.5847532016634
1,bc,37236.0,0.0,1111.0128887061435,0.0,1111.0128887061435,7447.200000000001,8901.600278331567,247.2666743980991
2,bc,60322.0,0.0,937.6177390731947,0.0,937.6177390731947,12064.400000000001,12165.138745687053,320.13523014965926
3,bc,55217.0,0.0,1178.0370783705143,0.0,1178.0370783705143,11043.400000000001,12863.402466824497,338.5105912322236
4,bc,46098.99999999999,0.0,793.2667813991727,0.0,793.2667813991727,9219.8,9270.83836336103,250.56319900975757
5,bc,92391.0,0.0,1609.0517880203054,0.0,1609.0517880203054,18478.2,19774.23507734809,520.3746072986339
6,bc,67370.0,0.0,2551.7311229736088,0.0,2551.7311229736088,13474.0,14355.363383955726,377.77272063041386
7,bc,66050.0,0.0,1496.279883102831,0.0,1496.279883102831,13210.0,13877.900078595787,365.2078968051523
8,bc,35949.0,0.0,644.2714637420571,0.0,644.2714637420571,7189.8,7605.418340990883,217.2976668854538
9,bc,39289.99999999999,0.0,1058.761933403428,0.0,1058.761933403428,7857.999999999999,9202.307636697404,242.16599043940536
10,bc,47466.00000000001,0.0,910.8793011481548,0.0,910.8793011481548,9493.200000000003,10354.067430241961,272.4754586905779
11,bc,38778.0,0.0,1317.47373029503,0.0,1317.47373029503,7755.6,10016.546975377412,286.18705643935465
12,bc,46010.0,0.0,1548.0140596875292,0.0,1548.0140596875292,9202.0,11450.43381065967,309.471184071883
13,bc,39547.0,0.0,1923.1423380128997,0.0,1923.1423380128997,7909.400000000001,9877.179838221215,282.2051382348918
14,bc,23352.0,0.0,457.33727716565267,0.0,457.33727716565267,4670.400000000001,5184.843393464288,148.13838267040822
