name,value
solver_time,3.6406805515289307
total_time,15.06427550315857
obj_value,18227.0
gap_to_opt,0.0013715915948867064
total_cost,18227.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed0-lowvalue-noquality
output,../tests/brandt/congen/04-400x400-15features-seed0-lowvalue-noquality/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed0-lowvalue-noquality/probability.csv']
pu_data,
complete_graph,mean
