features,total,target,reached
0,11805868.0,2361173.6,2361432.0
1,16331090.0,3266218.0,3266471.0
2,13689603.0,2737920.6,2738056.0
3,16426793.0,3285358.6,3285637.0
4,14762233.0,2952446.6,2952737.0
5,11533419.0,2306683.8000000003,2306802.0
6,11334592.0,2266918.4,2267080.0
7,13151836.0,2630367.2,2630546.0
8,16204552.0,3240910.4000000004,3241174.0
9,13803524.0,2760704.8000000003,2760851.0
10,16749138.0,3349827.6,3352471.0
11,16028729.0,3205745.8000000003,3205963.0
12,16433359.0,3286671.8000000003,3287141.0
13,15641537.0,3128307.4000000004,3129317.0
14,16312521.0,3262504.2,3263045.0
