con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,267.0,0.0,88.0,0.0,88.0,0,222.83498168498167,7.18822521564457
1,bc,50534.99999999999,0.0,5329.083333333332,0.0,5329.083333333332,0,48186.037317561924,308.8848545997559
2,bc,1936.0,0.0,234.53333333333333,0.0,234.53333333333333,0,1866.4580137344465,20.2875871058092
3,bc,27228.999999999996,0.0,1616.224424809727,0.0,1616.224424809727,0,24801.79231868182,147.62971618262986
4,bc,20661.0,0.0,1002.932650611915,0.0,1002.932650611915,0,19248.173330521182,123.38572647769989
5,bc,53508.0,0.0,2004.6264823965223,0.0,2004.6264823965223,0,48681.327729790384,250.93467901953807
6,bc,56273.0,0.0,2981.8633521729876,0.0,2981.8633521729876,0,51851.768809813606,280.2798314043979
7,bc,32894.000000000015,0.0,2465.634877139162,0.0,2465.634877139162,0,29569.33773293966,173.937280781998
8,bc,39031.0,0.0,1315.8327532839596,0.0,1315.8327532839596,0,34783.035276888535,179.2939962726213
9,bc,36945.00000000001,0.0,794.6911177531421,0.0,794.6911177531421,0,32102.884012129227,165.47878356767643
10,bc,53909.00000000001,0.0,2066.7871189329107,0.0,2066.7871189329107,0,49184.48206352988,253.52825805943237
11,bc,39171.0,0.0,1100.6801270076467,0.0,1100.6801270076467,0,35097.726605589254,180.91611652365594
12,bc,69659.0,0.0,7510.171247650091,0.0,7510.171247650091,0,57758.04235707359,297.721867819967
13,bc,33108.0,0.0,4680.0,0.0,4680.0,0,29457.468738031264,168.32839278875008
14,bc,67094.0,0.0,2275.2338746905884,0.0,2275.2338746905884,0,58488.05437148517,301.4848163478617
