con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,267.0,0.0,88.0,0.0,88.0,0,119.94687257187256,7.496679535742035
1,bc,50534.99999999999,0.0,5329.083333333332,0.0,5329.083333333332,0,30138.374774369768,470.9121058495276
2,bc,1936.0,0.0,234.53333333333333,0.0,234.53333333333333,0,1394.857652456466,37.69885547179638
3,bc,27228.999999999996,0.0,1616.224424809727,0.0,1616.224424809727,0,14514.128968518922,226.78326513310816
4,bc,20661.0,0.0,1002.932650611915,0.0,1002.932650611915,0,12326.282286987709,192.59816073418295
5,bc,53508.0,0.0,2004.6264823965223,0.0,2004.6264823965223,0,23506.926505996613,340.680094289806
6,bc,56273.0,0.0,2981.8633521729876,0.0,2981.8633521729876,0,21538.651601209058,316.7448764883685
7,bc,32894.000000000015,0.0,2465.634877139162,0.0,2465.634877139162,0,14485.343870428464,222.8514441604379
8,bc,39031.0,0.0,1315.8327532839596,0.0,1315.8327532839596,0,13456.78397726464,195.0258547429658
9,bc,36945.00000000001,0.0,794.6911177531421,0.0,794.6911177531421,0,14938.848753973201,216.5050544054087
10,bc,53909.00000000001,0.0,2066.7871189329107,0.0,2066.7871189329107,0,24545.190758462246,355.72740229655426
11,bc,39171.0,0.0,1100.6801270076467,0.0,1100.6801270076467,0,12350.360924903092,178.99073804207381
12,bc,69659.0,0.0,7510.171247650091,0.0,7510.171247650091,0,20492.271149004708,296.9894369420972
13,bc,33108.0,0.0,4680.0,0.0,4680.0,0,9866.3291111681,151.78967863335538
14,bc,67094.0,0.0,2275.2338746905884,0.0,2275.2338746905884,0,21847.527379836836,316.6308315918382
