name,value
solver_time,3.660865545272827
total_time,14.082626104354858
obj_value,17308.609950751787
gap_to_opt,0.0010358685767947048
total_cost,17555.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed30-noquality
output,../tests/brandt/congen/06-400x400-15features-seed30-noquality/bc-CC
metric,['bc']
metric_weight,1.0
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed30-noquality/probability.csv']
pu_data,
complete_graph,mean
