features,total,target,reached
0,8905062.0,1781012.4000000001,1781108.0
1,7854549.0,1570909.8,1571084.0
2,7680331.0,1536066.2000000002,1536428.0
3,8181892.0,1636378.4000000001,1636380.0
4,7742247.0,1548449.4000000001,1548470.0
5,7900087.0,1580017.4000000001,1580069.0
6,6536755.0,1307351.0,1307384.0
7,7749579.0,1549915.8,1550161.0
8,8383662.0,1676732.4000000001,1676739.0
9,8126113.0,1625222.6,1625419.0
10,7161461.0,1432292.2000000002,1645053.0
11,4771390.0,954278.0,954297.0
12,8257040.0,1651408.0,1651426.0
13,5505644.0,1101128.8,1101446.0
14,8016419.0,1603283.8,1603432.0
