name,value
solver_time,17.008650541305542
total_time,27.401376247406006
obj_value,102.04684492903021
gap_to_opt,0.04111303902212832
total_cost,17453.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed30-noquality
output,../tests/brandt/congen/06-400x400-15features-seed30-noquality/bc-CON
metric,['bc']
max_cost,17453.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed30-noquality/probability.csv']
pu_data,
complete_graph,mean
