con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,42859.0,0.0,1772.0213095506529,0.0,1772.0213095506529,8571.800000000001,8896.345157345158,278.0107861670362
1,bc,23938.0,0.0,838.4457047159842,0.0,838.4457047159842,4787.6,4842.521251850223,156.2103629629104
2,bc,54996.0,0.0,2326.5460284878277,0.0,2326.5460284878277,10999.2,11011.83186379679,344.1197457436497
3,bc,54378.0,0.0,2749.2716269504776,0.0,2749.2716269504776,10875.6,13220.909941732392,413.15343567913726
4,bc,46608.0,0.0,2770.7500027475407,0.0,2770.7500027475407,9321.6,10504.936818685654,328.2792755839267
5,bc,31620.999999999996,0.0,2742.1328972827914,0.0,2742.1328972827914,6324.2,8504.099628023134,265.75311337572293
6,bc,1482.0,0.0,92.50245501662768,0.0,92.50245501662768,296.40000000000003,330.91042217497403,30.082765652270368
7,bc,32048.0,0.0,890.7459428449536,0.0,890.7459428449536,6409.6,6784.0320087325845,218.83974221718015
8,bc,71480.0,0.0,2530.760960377566,0.0,2530.760960377566,14296.0,15117.632242178366,472.42600756807394
9,bc,75526.0,0.0,4148.93408007232,0.0,4148.93408007232,15105.2,18523.342218819053,578.8544443380954
10,bc,77847.0,0.0,3395.4051846876696,0.0,3395.4051846876696,15569.400000000001,17186.65246621685,537.0828895692765
11,bc,701.9999999999999,0.0,146.2409827517984,0.0,146.2409827517984,140.39999999999998,153.7313368421525,25.621889473692082
12,bc,51531.0,0.0,2403.945406320308,0.0,2403.945406320308,10306.2,13359.2187856718,417.4755870522437
13,bc,60.0,0.0,12.0,0.0,12.0,12.0,12.0,4.0
14,bc,26360.999999999993,0.0,1819.2982845254535,0.0,1819.2982845254535,5272.199999999999,6009.883868800882,193.867221574222
