name,value
solver_time,3.5370841026306152
total_time,13.96208119392395
obj_value,17453.0
gap_to_opt,0.0009740445768635764
total_cost,17453.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/400x400-15features-seed30-noquality
output,../tests/brandt/congen/06-400x400-15features-seed30-noquality/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/400x400-15features-seed30-noquality/probability.csv']
pu_data,
complete_graph,mean
