con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,18753.0,0.0,1789.4306810816497,0.0,1789.4306810816497,0,6667.7844622702005,256.4532485488539
1,bc,9464.0,0.0,342.6952834305725,0.0,342.6952834305725,0,4963.495981465244,101.29583635643355
2,bc,66264.00000000001,0.0,5244.000000000001,0.0,5244.000000000001,0,10929.342881708353,321.45126122671627
3,bc,61482.0,0.0,2701.4193730148445,0.0,2701.4193730148445,0,23541.675270026455,588.5418817506613
4,bc,46960.99999999999,0.0,1965.584293557099,0.0,1965.584293557099,0,21416.377539946694,475.9195008877043
5,bc,35687.0,0.0,1338.3333333333328,0.0,1338.3333333333328,0,11608.152283289746,297.6449303407627
6,bc,63.0,0.0,16.066666666666666,0.0,16.066666666666666,0,49.2,4.1000000000000005
7,bc,36178.0,0.0,1143.502875252406,0.0,1143.502875252406,0,15756.846099075517,342.5401325885982
8,bc,68107.0,0.0,1773.2110128958077,0.0,1773.2110128958077,0,28618.867088742187,502.08538752179277
9,bc,19487.0,0.0,1015.2828650152386,0.0,1015.2828650152386,0,7549.570237465562,132.44860065729057
10,bc,69706.99999999999,0.0,2032.3324115979283,0.0,2032.3324115979283,0,31648.783207510383,688.0170262502257
11,bc,87306.00000000003,0.0,3738.6137282153286,0.0,3738.6137282153286,0,39116.18911484192,766.9841002910181
12,bc,62262.99999999999,0.0,2189.858866493987,0.0,2189.858866493987,0,12867.273285355815,402.10229016736923
13,bc,11763.0,0.0,447.6824019360867,0.0,447.6824019360867,0,5494.389528672115,116.90190486536416
14,bc,57150.0,0.0,1919.3148887802656,0.0,1919.3148887802656,0,21555.140629003512,439.900829163337
