name,value
solver_time,21.279111623764038
total_time,39.692811727523804
obj_value,127.0669912379917
gap_to_opt,0.011486386160918582
total_cost,24710.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/500x500-15features-seed0
output,../tests/brandt/congen/07-500x500-15features-seed0/bc-CON
metric,['bc']
max_cost,24710.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/500x500-15features-seed0/probability.csv']
pu_data,
complete_graph,mean
