con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,18753.0,0.0,1789.4306810816497,0.0,1789.4306810816497,3750.6000000000004,3820.261788922424,159.17757453843433
1,bc,9464.0,0.0,342.6952834305725,0.0,342.6952834305725,1892.8000000000002,2076.6619334483275,76.91340494253065
2,bc,66264.00000000001,0.0,5244.000000000001,0.0,5244.000000000001,13252.800000000003,14639.813850065304,395.6706445963596
3,bc,61482.0,0.0,2701.4193730148445,0.0,2701.4193730148445,12296.400000000001,13914.546729747426,496.9480974909795
4,bc,46960.99999999999,0.0,1965.584293557099,0.0,1965.584293557099,9392.199999999999,10625.377298863847,312.51109702540725
5,bc,35687.0,0.0,1338.3333333333328,0.0,1338.3333333333328,7137.400000000001,8166.404490635913,247.4668027465428
6,bc,63.0,0.0,16.066666666666666,0.0,16.066666666666666,12.600000000000001,24.4,3.05
7,bc,36178.0,0.0,1143.502875252406,0.0,1143.502875252406,7235.6,7299.355566851311,291.97422267405244
8,bc,68107.0,0.0,1773.2110128958077,0.0,1773.2110128958077,13621.400000000001,14484.739131560487,426.02173916354377
9,bc,19487.0,0.0,1015.2828650152386,0.0,1015.2828650152386,3897.4,4733.4014349017925,98.61252989378734
10,bc,69706.99999999999,0.0,2032.3324115979283,0.0,2032.3324115979283,13941.399999999998,15384.318702993007,512.8106234331002
11,bc,87306.00000000003,0.0,3738.6137282153286,0.0,3738.6137282153286,17461.200000000008,17741.88948396676,492.83026344352106
12,bc,62262.99999999999,0.0,2189.858866493987,0.0,2189.858866493987,12452.599999999999,12844.925264158965,414.35242787609565
13,bc,11763.0,0.0,447.6824019360867,0.0,447.6824019360867,2352.6,2562.2782059134456,88.3544208935671
14,bc,57150.0,0.0,1919.3148887802656,0.0,1919.3148887802656,11430.0,12918.822043766691,349.1573525342349
