name,value
solver_time,4.297725200653076
total_time,18.788588523864746
obj_value,24710.0
gap_to_opt,0.001254552812626467
total_cost,24710.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/500x500-15features-seed0
output,../tests/brandt/congen/07-500x500-15features-seed0/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/500x500-15features-seed0/probability.csv']
pu_data,
complete_graph,mean
