name,value
solver_time,309.3214168548584
total_time,371.13932371139526
obj_value,24509.416635987047
gap_to_opt,0.0007532638783733861
total_cost,24932.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/500x500-15features-seed0
output,../tests/brandt/congen/07-500x500-15features-seed0/ec-CC
metric,['ec']
metric_weight,0.5
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/500x500-15features-seed0/probability.csv']
pu_data,../../pa-lukas-rose/results/500x500-15features-seed0/quality.csv
complete_graph,
