name,value
solver_time,3800.0980837345123
total_time,3842.5697860717773
obj_value,783.4113963063048
gap_to_opt,0.009952337496646535
total_cost,24887.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/500x500-15features-seed0
output,../tests/brandt/congen/07-500x500-15features-seed0/ec-CON
metric,['ec']
max_cost,24887.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/500x500-15features-seed0/probability.csv']
pu_data,../../pa-lukas-rose/results/500x500-15features-seed0/quality.csv
complete_graph,
