con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,ec,30273769.808129687,7.9104580034637495,202950.0,7.9104580034637495,202950.0,6054753.961625937,6743707.820693357,4379.0310523982835
0,bc,18753.0,0.0,1789.4306810816497,0.0,1789.4306810816497,3750.6000000000004,4091.566877421735,73.06369423967384
1,ec,39541264.97532472,52.23314503384018,191406.0,52.23314503384018,191406.0,7908252.995064944,7938220.350343285,2785.3404738046615
1,bc,9464.0,0.0,342.6952834305725,0.0,342.6952834305725,1892.8000000000002,4197.654180706914,55.232291851406764
2,ec,47654654.15970509,51.89418005645639,217156.0,51.89418005645639,217156.0,9530930.831941018,12792757.827628363,2926.734803850003
2,bc,66264.00000000001,0.0,5244.000000000001,0.0,5244.000000000001,13252.800000000003,20274.540382105944,215.6865998096377
3,ec,42303433.14138703,32.89793963756161,168920.0,32.89793963756161,168920.0,8460686.628277406,9774897.20909794,3340.703078980841
3,bc,61482.0,0.0,2701.4193730148445,0.0,2701.4193730148445,12296.400000000001,17087.508666593723,221.91569696874964
4,ec,32319188.97765869,10.80939342433269,204303.0,10.80939342433269,204303.0,6463837.795531739,6605195.447221818,3175.5747342412587
4,bc,46960.99999999999,0.0,1965.584293557099,0.0,1965.584293557099,9392.199999999999,11138.711803132124,171.36479697126344
5,ec,35223947.30614028,44.346714773948094,177662.0,44.346714773948094,177662.0,7044789.461228057,7700573.837999498,3098.8224700199185
5,bc,35687.0,0.0,1338.3333333333328,0.0,1338.3333333333328,7137.400000000001,7720.775208465262,108.74331279528538
6,ec,10851390.322877226,90.71532646676388,173055.0,90.71532646676388,173055.0,2170278.0645754454,2303432.751814552,7678.109172715173
6,bc,63.0,0.0,16.066666666666666,0.0,16.066666666666666,12.600000000000001,41.666666666666664,1.6666666666666665
7,ec,34771248.0935656,89.68622061820675,199809.0,89.68622061820675,199809.0,6954249.61871312,8091340.934601933,2162.881832291348
7,bc,36178.0,0.0,1143.502875252406,0.0,1143.502875252406,7235.6,11402.112313622225,131.0587622255428
8,ec,29759116.600191765,21.175058705645416,149382.0,21.175058705645416,149382.0,5951823.320038353,6210315.605464192,1483.5918789928792
8,bc,68107.0,0.0,1773.2110128958077,0.0,1773.2110128958077,13621.400000000001,17833.645308677515,193.84397074649473
9,ec,36373863.76131211,13.131561010736721,190096.0,13.131561010736721,190096.0,7274772.752262423,7910731.574146345,2324.634608917527
9,bc,19487.0,0.0,1015.2828650152386,0.0,1015.2828650152386,3897.4,7266.790507836317,87.5516928654978
10,ec,48341950.10616332,7.7925433165553155,218089.0,7.7925433165553155,218089.0,9668390.021232665,11547427.733694103,2948.781341597064
10,bc,69706.99999999999,0.0,2032.3324115979283,0.0,2032.3324115979283,13941.399999999998,26936.431490229705,302.6565335980866
11,ec,40121528.995193325,5.543186443113664,220900.0,5.543186443113664,220900.0,8024305.799038665,8953118.414811414,3502.7849823205843
11,bc,87306.00000000003,0.0,3738.6137282153286,0.0,3738.6137282153286,17461.200000000008,18309.359580662054,254.29666084252852
12,ec,45830625.33077061,75.13241596752121,224676.0,75.13241596752121,224676.0,9166125.066154122,11064084.81189207,3251.273820714684
12,bc,62262.99999999999,0.0,2189.858866493987,0.0,2189.858866493987,12452.599999999999,13581.279804499776,163.62987716264792
13,ec,49106779.369005546,48.67160819572611,173472.0,48.67160819572611,173472.0,9821355.87380111,13587386.099742029,2147.184908303102
13,bc,11763.0,0.0,447.6824019360867,0.0,447.6824019360867,2352.6,5092.334242304653,45.064904799156224
14,ec,52657078.17949402,0.0572598334313868,202050.0,0.0572598334313868,202050.0,10531415.635898806,17979218.03512568,2476.476313378193
14,bc,57150.0,0.0,1919.3148887802656,0.0,1919.3148887802656,11430.0,16825.221913476584,139.05142077253376
