con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,ec,30273769.808129687,7.9104580034637495,202950.0,7.9104580034637495,202950.0,6054753.961625937,6136898.654117208,4628.128698429267
1,ec,39541264.97532472,52.23314503384018,191406.0,52.23314503384018,191406.0,7908252.995064944,7938220.350343285,2785.3404738046615
2,ec,47654654.15970509,51.89418005645639,217156.0,51.89418005645639,217156.0,9530930.831941018,11654413.51730008,3343.2052545324386
3,ec,42303433.14138703,32.89793963756161,168920.0,32.89793963756161,168920.0,8460686.628277406,9113957.579787718,3667.5885632948566
4,ec,32319188.97765869,10.80939342433269,204303.0,10.80939342433269,204303.0,6463837.795531739,7962120.380366833,3827.9424905609776
5,ec,35223947.30614028,44.346714773948094,177662.0,44.346714773948094,177662.0,7044789.461228057,7580923.34530198,3231.4251258746717
6,ec,10851390.322877226,90.71532646676388,173055.0,90.71532646676388,173055.0,2170278.0645754454,2222882.5623035356,8786.097084203699
7,ec,34771248.0935656,89.68622061820675,199809.0,89.68622061820675,199809.0,6954249.61871312,8091340.934601933,2162.881832291348
8,ec,29759116.600191765,21.175058705645416,149382.0,21.175058705645416,149382.0,5951823.320038353,6062382.733933875,1548.1059075418477
9,ec,36373863.76131211,13.131561010736721,190096.0,13.131561010736721,190096.0,7274772.752262423,7910731.574146345,2324.634608917527
10,ec,48341950.10616332,7.7925433165553155,218089.0,7.7925433165553155,218089.0,9668390.021232665,11565154.062730663,2953.3079833326515
11,ec,40121528.995193325,5.543186443113664,220900.0,5.543186443113664,220900.0,8024305.799038665,9255520.14997431,3724.555392343787
12,ec,45830625.33077061,75.13241596752121,224676.0,75.13241596752121,224676.0,9166125.066154122,11735339.044614326,3287.2098164185786
13,ec,49106779.369005546,48.67160819572611,173472.0,48.67160819572611,173472.0,9821355.87380111,13530067.726729764,2176.651822189473
14,ec,52657078.17949402,0.0572598334313868,202050.0,0.0572598334313868,202050.0,10531415.635898806,17979218.03512568,2476.476313378193
