name,value
solver_time,3730.0927298069
total_time,3766.380777359009
obj_value,24887.0
gap_to_opt,0.0028127134648611727
total_cost,24887.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/500x500-15features-seed0
output,../tests/brandt/congen/07-500x500-15features-seed0/ec-cf
metric,['ec']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/500x500-15features-seed0/probability.csv']
pu_data,../../pa-lukas-rose/results/500x500-15features-seed0/quality.csv
complete_graph,
