con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,4099.0,0.0,196.44540443873476,0.0,196.44540443873476,0,1142.2604620581014,81.5900330041501
1,bc,3995.9999999999995,0.0,191.47758500601375,0.0,191.47758500601375,0,725.1929246088698,45.32455778805436
2,bc,3774.0,0.0,213.34828760708365,0.0,213.34828760708365,0,786.9878759669081,78.6987875966908
3,bc,4252.0,0.0,232.23797905573147,0.0,232.23797905573147,0,814.2866707146834,62.637436208821796
4,bc,4231.0,0.0,184.15643387081138,0.0,184.15643387081138,0,590.0307150253082,65.55896833614536
5,bc,4043.0000000000005,0.0,152.85038980385966,0.0,152.85038980385966,0,1130.184701279616,66.481453016448
6,bc,4177.999999999999,0.0,197.91685266922067,0.0,197.91685266922067,0,802.460609083897,89.16228989821077
7,bc,4100.0,0.0,220.48045787454436,0.0,220.48045787454436,0,858.0309683043112,78.00281530039193
8,bc,3862.0,0.0,205.01587092808268,0.0,205.01587092808268,0,1091.7712855788686,77.98366325563347
9,bc,3907.0,0.0,198.44496720662843,0.0,198.44496720662843,0,904.0832381483591,75.3402698456966
10,bc,4162.000000000001,0.0,183.0175830809954,0.0,183.0175830809954,0,843.244801488245,76.65861831711318
11,bc,4008.0,0.0,175.35955798640646,0.0,175.35955798640646,0,1003.9313894975842,77.22549149981417
12,bc,3803.0000000000005,0.0,158.17422802746728,0.0,158.17422802746728,0,1369.9644628376193,97.85460448840138
13,bc,3889.0000000000005,0.0,204.14130130575714,0.0,204.14130130575714,0,727.2779595620761,145.45559191241523
14,bc,4370.000000000001,0.0,190.54719707061835,0.0,190.54719707061835,0,911.4275488366695,101.26972764851884
