name,value
solver_time,1.046234369277954
total_time,40.72153401374817
obj_value,25586.236653447642
gap_to_opt,3.260891039512181e-05
total_cost,25958.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary
output,../tests/brandt/congen/10-1000x1000-30features-seed0-binary/bc-CC
metric,['bc']
metric_weight,1.5
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/probability.csv']
pu_data,
complete_graph,mean
