name,value
solver_time,11.672077655792236
total_time,138.97299456596375
obj_value,25315.996690728407
gap_to_opt,0.0
total_cost,26916.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary
output,../tests/brandt/congen/10-1000x1000-30features-seed0-binary/ec-CC
metric,['ec']
metric_weight,0.5
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/quality.csv
complete_graph,
