name,value
solver_time,58.09227681159973
total_time,270.2073087692261
obj_value,4079.769861235318
gap_to_opt,0.02062622869544623
total_cost,27204.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary
output,../tests/brandt/congen/10-1000x1000-30features-seed0-binary/ec-bc-CON
metric,"['ec', 'bc']"
max_cost,27204.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-30features-seed0-binary/quality.csv
complete_graph,mean
