name,value
solver_time,1.1841461658477783
total_time,45.329219579696655
obj_value,42234.0
gap_to_opt,0.001136525074584458
total_cost,42234.0
cmd,RSP-CF
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-50features-seed0-binary
output,../tests/brandt/congen/11-1000x1000-50features-seed0-binary/bc-cf
metric,['bc']
metric_prop,0.2
metric_target,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-50features-seed0-binary/probability.csv']
pu_data,
complete_graph,mean
