name,value
solver_time,492.2894766330719
total_time,837.1717526912689
obj_value,3687.349465799068
gap_to_opt,0.031792480736826625
total_cost,43177.0
cmd,RSP-Con
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-50features-seed0-binary
output,../tests/brandt/congen/11-1000x1000-50features-seed0-binary/ec-CON
metric,['ec']
max_cost,43177.0
min_cost,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-50features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-50features-seed0-binary/quality.csv
complete_graph,
