name,value
solver_time,25.110512256622314
total_time,346.56776428222656
obj_value,41690.03440099044
gap_to_opt,2.0622139965642053e-05
total_cost,43453.0
cmd,RSP-CC
gap,0.05
time_limit,
gurobi_log,
gurobi_threads,
gurobi_mem,
input,../../pa-lukas-rose/results/1000x1000-50features-seed0-binary
output,../tests/brandt/congen/11-1000x1000-50features-seed0-binary/ec-bc-CC
metric,"['ec', 'bc']"
metric_weight,0.35
cost_weight,
metric_min,
metric_min_type,
metric_max,
metric_max_type,
con_matrix,
con_edgelist,
feature_edgelist,['../../pa-lukas-rose/results/1000x1000-50features-seed0-binary/probability.csv']
pu_data,../../pa-lukas-rose/results/1000x1000-50features-seed0-binary/quality.csv
complete_graph,mean
