con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,ec,1372544.0413763598,0.9639988838696888,8719.816157822079,0.9639988838696888,8719.816157822079,274508.80827527196,278160.43988468463,323.0667129903422
0,bc,4099.0,0.0,196.44540443873476,0.0,196.44540443873476,819.8000000000001,1911.6627459952947,45.515779666554636
1,ec,1342101.6566107175,17.03886285636306,9596.481139062378,17.03886285636306,9596.481139062378,268420.3313221435,291423.2777107469,322.7278822931859
1,bc,3995.9999999999995,0.0,191.47758500601375,0.0,191.47758500601375,799.1999999999999,1824.318411145213,42.42600956151659
2,ec,1384630.8720015613,9.607372098472965,7556.094603302767,9.607372098472965,7556.094603302767,276926.1744003123,282341.07265083713,344.3183812815087
2,bc,3774.0,0.0,213.34828760708365,0.0,213.34828760708365,754.8000000000001,1256.626118353141,30.649417520808317
3,ec,1372081.9017138097,13.052781867914083,6308.569024327415,13.052781867914083,6308.569024327415,274416.3803427619,277821.5951350066,293.6803331236856
3,bc,4252.0,0.0,232.23797905573147,0.0,232.23797905573147,850.4000000000001,1696.3923194653648,38.55437089694011
4,ec,1399282.8266319502,3.4586563791958698,6970.087450381902,3.4586563791958698,6970.087450381902,279856.56532639003,287830.0284052938,266.26274598084535
4,bc,4231.0,0.0,184.15643387081138,0.0,184.15643387081138,846.2,2060.12556697609,43.8324588718317
5,ec,1394064.7921029623,11.425572207704393,10506.57831508809,11.425572207704393,10506.57831508809,278812.9584205925,279382.4190657836,309.3935980794946
5,bc,4043.0000000000005,0.0,152.85038980385966,0.0,152.85038980385966,808.6000000000001,1553.9125075275836,36.13750017506008
6,ec,1356451.6754074777,20.644274827297803,8001.427940135004,20.644274827297803,8001.427940135004,271290.3350814955,281356.3461602448,326.7785669689254
6,bc,4177.999999999999,0.0,197.91685266922067,0.0,197.91685266922067,835.5999999999999,1501.0615068056013,35.73955968584765
7,ec,1419897.2093322212,0.0,8438.443931099186,0.0,8438.443931099186,283979.44186644425,288236.8175646787,319.1991335157018
7,bc,4100.0,0.0,220.48045787454436,0.0,220.48045787454436,820.0,1647.7665439790721,38.32015218555982
8,ec,1388184.5485410057,0.24659258583740198,5961.244119466513,0.24659258583740198,5961.244119466513,277636.9097082011,286235.904323749,289.12717608459496
8,bc,3862.0,0.0,205.01587092808268,0.0,205.01587092808268,772.4000000000001,1585.422441493937,35.23160981097638
9,ec,1460515.4037206406,17.422221681342773,9995.505911532127,17.422221681342773,9995.505911532127,292103.08074412815,296143.7806353157,327.9554602827416
9,bc,3907.0,0.0,198.44496720662843,0.0,198.44496720662843,781.4000000000001,1866.8459950317479,43.415023140273206
10,ec,1394394.8023281032,20.736464765454752,11342.70448627103,20.736464765454752,11342.70448627103,278878.9604656207,290886.2277279143,337.8469543878215
10,bc,4162.000000000001,0.0,183.0175830809954,0.0,183.0175830809954,832.4000000000002,1380.5084116658038,32.86924789680485
11,ec,1344189.1961796973,11.0323335651983,6546.986239502354,11.0323335651983,6546.986239502354,268837.8392359395,270725.6994166827,385.10056816028833
11,bc,4008.0,0.0,175.35955798640646,0.0,175.35955798640646,801.6,1234.8759687717193,32.496736020308404
12,ec,1425531.7063938319,0.7671765041150219,11184.786331380488,0.7671765041150219,11184.786331380488,285106.3412787664,290589.78683987854,488.38619636954377
12,bc,3803.0000000000005,0.0,158.17422802746728,0.0,158.17422802746728,760.6000000000001,1654.4415653007839,47.26975900859382
13,ec,1375630.586469498,9.133668469498392,4693.678860148522,9.133668469498392,4693.678860148522,275126.1172938996,283702.9047306882,363.72167273165155
13,bc,3889.0000000000005,0.0,204.14130130575714,0.0,204.14130130575714,777.8000000000002,1313.2297585359,32.830743963397495
14,ec,1415360.7045870626,0.48075014312854986,6673.603632503211,0.48075014312854986,6673.603632503211,283072.14091741253,283479.1530506296,313.9304020494237
14,bc,4370.000000000001,0.0,190.54719707061835,0.0,190.54719707061835,874.0000000000002,1941.4249330753587,45.149417048264155
15,ec,1416624.3370613514,2.624877228811726,9278.07414347279,2.624877228811726,9278.07414347279,283324.8674122703,296935.7932198873,286.89448620278966
15,bc,4128.999999999999,0.0,186.5827512488312,0.0,186.5827512488312,825.7999999999998,1570.8569718748322,34.149064605974615
