features,total,target,reached
0,31094.0,6218.8,6219.0
1,198.0,39.6,40.0
2,31310.0,6262.0,6262.0
4,30882.0,6176.400000000001,6177.0
5,143.0,28.6,29.0
6,21.0,4.2,5.0
7,28.0,5.6000000000000005,6.0
8,51.0,10.200000000000001,11.0
9,12.0,2.4000000000000004,3.0
10,63.0,12.600000000000001,13.0
11,1.0,0.2,1.0
12,16.0,3.2,4.0
14,1.0,0.2,1.0
15,89.0,17.8,18.0
16,371.0,74.2,75.0
17,30929.0,6185.8,6186.0
18,346.0,69.2,70.0
19,31066.0,6213.200000000001,6214.0
20,31084.0,6216.8,6217.0
21,92.0,18.400000000000002,19.0
22,31135.0,6227.0,6227.0
23,77.0,15.4,16.0
24,64.0,12.8,13.0
25,52.0,10.4,11.0
26,233.0,46.6,47.0
27,4.0,0.8,1.0
28,198.0,39.6,40.0
29,31283.0,6256.6,6257.0
30,31088.0,6217.6,6218.0
31,30958.0,6191.6,6192.0
32,319.0,63.800000000000004,64.0
34,131.0,26.200000000000003,27.0
35,30.0,6.0,6.0
36,6.0,1.2000000000000002,2.0
37,87.0,17.400000000000002,18.0
38,99.0,19.8,20.0
39,101.0,20.200000000000003,21.0
40,31377.0,6275.400000000001,6276.0
41,11.0,2.2,3.0
42,31345.0,6269.0,6269.0
43,30900.0,6180.0,6180.0
44,31198.0,6239.6,6240.0
45,30960.0,6192.0,6192.0
46,11.0,2.2,3.0
47,17.0,3.4000000000000004,4.0
48,31.0,6.2,7.0
49,31190.0,6238.0,6238.0
