con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,4099.0,0.0,196.44540443873476,0.0,196.44540443873476,819.8000000000001,834.1012879039147,69.50844065865955
1,bc,3995.9999999999995,0.0,191.47758500601375,0.0,191.47758500601375,799.1999999999999,827.0769405005418,39.384616214311514
2,bc,3774.0,0.0,213.34828760708365,0.0,213.34828760708365,754.8000000000001,917.5317276655944,53.97245456856438
3,bc,4252.0,0.0,232.23797905573147,0.0,232.23797905573147,850.4000000000001,1062.8719898154038,50.61295189597161
4,bc,4231.0,0.0,184.15643387081138,0.0,184.15643387081138,846.2,860.2781345464929,50.6045961497937
5,bc,4043.0000000000005,0.0,152.85038980385966,0.0,152.85038980385966,808.6000000000001,921.9755197504771,65.85539426789123
6,bc,4177.999999999999,0.0,197.91685266922067,0.0,197.91685266922067,835.5999999999999,1002.8375081301386,66.85583387534258
7,bc,4100.0,0.0,220.48045787454436,0.0,220.48045787454436,820.0,877.2468881752371,62.66049201251694
8,bc,3862.0,0.0,205.01587092808268,0.0,205.01587092808268,772.4000000000001,845.2010878933689,46.955615994076055
9,bc,3907.0,0.0,198.44496720662843,0.0,198.44496720662843,781.4000000000001,917.3605342736596,57.335033392103725
10,bc,4162.000000000001,0.0,183.0175830809954,0.0,183.0175830809954,832.4000000000002,929.4417353009393,58.090108456308705
11,bc,4008.0,0.0,175.35955798640646,0.0,175.35955798640646,801.6,900.2644173483156,52.95673043225386
12,bc,3803.0000000000005,0.0,158.17422802746728,0.0,158.17422802746728,760.6000000000001,780.662996099456,55.76164257853257
13,bc,3889.0000000000005,0.0,204.14130130575714,0.0,204.14130130575714,777.8000000000002,902.4737717065549,75.20614764221291
14,bc,4370.000000000001,0.0,190.54719707061835,0.0,190.54719707061835,874.0000000000002,1017.9171209754641,67.86114139836427
15,bc,4128.999999999999,0.0,186.5827512488312,0.0,186.5827512488312,825.7999999999998,956.0938650903306,53.1163258383517
16,bc,4211.0,0.0,197.92571910251073,0.0,197.92571910251073,842.2,850.7265175264841,47.2625843070269
17,bc,3981.9999999999995,0.0,162.81801950931836,0.0,162.81801950931836,796.4,849.2820701834731,56.61880467889821
18,bc,4272.0,0.0,196.16008662003077,0.0,196.16008662003077,854.4000000000001,897.4541763822193,49.85856535456774
19,bc,4221.000000000001,0.0,235.89789345435375,0.0,235.89789345435375,844.2000000000003,882.702505060174,73.55854208834783
20,bc,3894.9999999999995,0.0,219.47096399732965,0.0,219.47096399732965,779.0,813.7830882658867,45.21017157032704
21,bc,3956.0,0.0,192.3532671734244,0.0,192.3532671734244,791.2,840.3246501661496,56.02164334440997
22,bc,4144.0,0.0,161.5551888019025,0.0,161.5551888019025,828.8000000000001,934.0120201864661,66.7151442990333
23,bc,3994.9999999999995,0.0,216.5576912902581,0.0,216.5576912902581,799.0,882.7371679021721,67.90285906939786
24,bc,4186.000000000001,0.0,172.86431541844087,0.0,172.86431541844087,837.2000000000003,862.6707525002895,53.91692203126809
25,bc,3866.0000000000005,0.0,185.0765259112018,0.0,185.0765259112018,773.2000000000002,862.1327725893836,50.71369250525786
26,bc,4401.0,0.0,230.92518186125625,0.0,230.92518186125625,880.2,1065.0678285870192,59.17043492150107
27,bc,3940.0,0.0,166.01700228510285,0.0,166.01700228510285,788.0,935.7458913005521,66.83899223575372
28,bc,3951.9999999999995,0.0,184.5729484138829,0.0,184.5729484138829,790.4,830.7692811513757,55.384618743425044
29,bc,3969.0000000000005,0.0,225.28113241355308,0.0,225.28113241355308,793.8000000000002,899.8327121421144,59.988847476140954
30,bc,4091.9999999999995,0.0,184.3134004961659,0.0,184.3134004961659,818.4,970.6429523385358,69.33163945275255
31,bc,4251.0,0.0,192.48047557279227,0.0,192.48047557279227,850.2,1022.8172761044881,53.83248821602569
