con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,ec,1372544.0413763598,0.9639988838696888,8719.816157822079,0.9639988838696888,8719.816157822079,274508.80827527196,335713.6785742675,310.55844456453974
1,ec,1342101.6566107175,17.03886285636306,9596.481139062378,17.03886285636306,9596.481139062378,268420.3313221435,287801.0279187978,409.38979789302675
2,ec,1384630.8720015613,9.607372098472965,7556.094603302767,9.607372098472965,7556.094603302767,276926.1744003123,290061.759764272,321.2201104809214
3,ec,1372081.9017138097,13.052781867914083,6308.569024327415,13.052781867914083,6308.569024327415,274416.3803427619,277710.34347160126,256.9013353113795
4,ec,1399282.8266319502,3.4586563791958698,6970.087450381902,3.4586563791958698,6970.087450381902,279856.56532639003,344542.697116759,281.25934458510943
5,ec,1394064.7921029623,11.425572207704393,10506.57831508809,11.425572207704393,10506.57831508809,278812.9584205925,278844.2970009175,281.66090606153284
6,ec,1356451.6754074777,20.644274827297803,8001.427940135004,20.644274827297803,8001.427940135004,271290.3350814955,381649.0127813278,311.55021451536965
7,ec,1419897.2093322212,0.0,8438.443931099186,0.0,8438.443931099186,283979.44186644425,333520.22712397046,295.6739602162859
8,ec,1388184.5485410057,0.24659258583740198,5961.244119466513,0.24659258583740198,5961.244119466513,277636.9097082011,291458.72918667365,308.0959082311561
9,ec,1460515.4037206406,17.422221681342773,9995.505911532127,17.422221681342773,9995.505911532127,292103.08074412815,335249.01845686947,323.9120951274101
10,ec,1394394.8023281032,20.736464765454752,11342.70448627103,20.736464765454752,11342.70448627103,278878.9604656207,294810.7788478293,297.7886655028579
11,ec,1344189.1961796973,11.0323335651983,6546.986239502354,11.0323335651983,6546.986239502354,268837.8392359395,343554.72256463266,331.93693001413783
12,ec,1425531.7063938319,0.7671765041150219,11184.786331380488,0.7671765041150219,11184.786331380488,285106.3412787664,286824.657769145,408.0009356602347
13,ec,1375630.586469498,9.133668469498392,4693.678860148522,9.133668469498392,4693.678860148522,275126.1172938996,275496.5159285574,291.2225326940353
14,ec,1415360.7045870626,0.48075014312854986,6673.603632503211,0.48075014312854986,6673.603632503211,283072.14091741253,316754.3331065008,406.0952988544882
15,ec,1416624.3370613514,2.624877228811726,9278.07414347279,2.624877228811726,9278.07414347279,283324.8674122703,443205.7692873825,309.71751871934487
16,ec,1333746.4367832853,3.822554499514923,16604.870721576786,3.822554499514923,16604.870721576786,266749.2873566571,288723.1345060549,319.7376904828958
17,ec,1353346.8801381357,9.044795380208054,5182.575374311469,9.044795380208054,5182.575374311469,270669.37602762715,275232.71555586974,278.012843995828
18,ec,1461187.2478495173,2.6160684882125453,49318.17346241514,2.6160684882125453,49318.17346241514,292237.4495699035,342383.5623156207,303.5315268755503
19,ec,1414447.8705747966,10.88849376447794,5875.507109920592,10.88849376447794,5875.507109920592,282889.57411495934,291130.36475551105,307.7487999529715
20,ec,1373198.043917573,17.605448789843813,4825.569719121695,17.605448789843813,4825.569719121695,274639.60878351465,331181.40606146754,240.33483749017964
21,ec,1377517.1124846651,3.0991090263233008,17749.770838265526,3.0991090263233008,17749.770838265526,275503.422496933,357055.82545769203,395.4106594215859
22,ec,1401933.8658081235,9.688249356729301,8744.618454967875,9.688249356729301,8744.618454967875,280386.77316162473,315942.8051450751,405.0548783911219
23,ec,1391937.1953858663,19.326766652207027,5838.320714106057,19.326766652207027,5838.320714106057,278387.4390771733,278609.93750866177,281.4241793016786
24,ec,1427137.5644662024,21.179474361272064,5924.700689481012,21.179474361272064,5924.700689481012,285427.5128932405,339492.0553485422,328.0116476797509
25,ec,1446554.4379363153,7.868316656822843,11674.031250100865,7.868316656822843,11674.031250100865,289310.8875872631,375310.57716565963,332.72214287735784
26,ec,1419317.9656130476,15.631362708295386,17057.304940539994,15.631362708295386,17057.304940539994,283863.59312260954,286892.3168530007,455.384629925398
27,ec,1432031.8276333143,4.476342889783297,5561.279342368983,4.476342889783297,5561.279342368983,286406.36552666285,296413.19593951554,299.40726862577327
28,ec,1411149.9634897558,20.11215327333438,12869.431803073965,20.11215327333438,12869.431803073965,282229.99269795115,296639.87485147786,299.636237223715
29,ec,1349781.4893247196,8.90249439739192,7026.050330363459,8.90249439739192,7026.050330363459,269956.2978649439,270512.0603926864,314.1835776918541
30,ec,1430423.7766025513,9.228480708170801,5142.730506773727,9.228480708170801,5142.730506773727,286084.7553205103,412463.0740851995,323.50045026290155
31,ec,1353409.6503892017,22.133172294519422,4621.296563553163,22.133172294519422,4621.296563553163,270681.93007784034,289732.84954581654,279.93512033412225
32,ec,1411326.0095657674,19.55806808980098,14391.88723879299,19.55806808980098,14391.88723879299,282265.20191315346,286875.59933783964,277.17449211385474
33,ec,1388668.8991090017,10.014339306188397,5717.773938605226,10.014339306188397,5717.773938605226,277733.77982180036,294877.7005209314,397.94561473809904
34,ec,1419644.0630861125,1.0422322023965676,10523.206657070887,1.0422322023965676,10523.206657070887,283928.8126172225,330570.34474607,333.90943913744445
35,ec,1357986.376998877,10.476927435736817,8792.999324814215,10.476927435736817,8792.999324814215,271597.2753997754,307080.5448053689,272.23452553667454
