con_data,metric,total,min,max,min_threshold,max_threshold,target,total_metric,avg_per_pu
0,bc,18753.0,0.0,1789.4306810816497,0.0,1789.4306810816497,0,6667.7844622702005,256.4532485488539
1,bc,9464.0,0.0,342.6952834305725,0.0,342.6952834305725,0,6415.828678768395,100.24732310575617
2,bc,66264.00000000001,0.0,5244.000000000001,0.0,5244.000000000001,0,12799.44561842068,355.54015606724107
3,bc,61482.0,0.0,2701.4193730148445,0.0,2701.4193730148445,0,30011.893118935535,612.4876146721538
4,bc,46960.99999999999,0.0,1965.584293557099,0.0,1965.584293557099,0,29603.39557033042,548.2110290801929
5,bc,35687.0,0.0,1338.3333333333328,0.0,1338.3333333333328,0,18852.79016676075,377.05580333521505
6,bc,63.0,0.0,16.066666666666666,0.0,16.066666666666666,0,49.2,4.1000000000000005
7,bc,36178.0,0.0,1143.502875252406,0.0,1143.502875252406,0,21493.907492664664,358.23179154441107
8,bc,68107.0,0.0,1773.2110128958077,0.0,1773.2110128958077,0,33022.06323816401,485.6185770318237
9,bc,19487.0,0.0,1015.2828650152386,0.0,1015.2828650152386,0,11009.571950708947,152.91072153762426
10,bc,69706.99999999999,0.0,2032.3324115979283,0.0,2032.3324115979283,0,41081.465565376486,673.4666486127293
11,bc,87306.00000000003,0.0,3738.6137282153286,0.0,3738.6137282153286,0,47066.58984054567,811.4929282852702
12,bc,62262.99999999999,0.0,2189.858866493987,0.0,2189.858866493987,0,20408.869639684963,453.5304364374436
13,bc,11763.0,0.0,447.6824019360867,0.0,447.6824019360867,0,7210.61928365912,110.93260436398646
14,bc,57150.0,0.0,1919.3148887802656,0.0,1919.3148887802656,0,28285.754985605177,463.70090140336356
