"","pu","cost","status","xloc","yloc","locked_in","locked_out","x"
"1",1,1,0,144.764,-14.035,FALSE,FALSE,1
"2",2,1,0,144.575,-13.96,FALSE,FALSE,0
"3",3,1,0,144.522,-13.981,FALSE,FALSE,0
"4",4,1,0,144.668,-14.086,FALSE,FALSE,1
"5",5,1,0,144.525,-14.12,FALSE,FALSE,1
"6",6,1,0,144.734,-14.173,FALSE,FALSE,0
"7",7,1,0,144.653,-14.181,FALSE,FALSE,0
"8",8,1,0,144.8,-14.177,FALSE,FALSE,1
"9",9,1,0,144.892,-14.201,FALSE,FALSE,0
"10",10,1,0,144.929,-14.214,FALSE,FALSE,0
"11",11,1,0,144.743,-14.244,FALSE,FALSE,1
"12",12,1,0,144.96,-14.227,FALSE,FALSE,0
"13",13,1,0,145.002,-14.233,FALSE,FALSE,0
"14",14,1,0,145.07,-14.27,FALSE,FALSE,1
"15",15,1,0,145.165,-14.29,FALSE,FALSE,0
"16",16,1,0,144.687,-14.295,FALSE,FALSE,0
"17",17,1,0,144.795,-14.309,FALSE,FALSE,1
"18",18,1,0,145.237,-14.314,FALSE,FALSE,0
"19",19,1,0,144.74,-14.318,FALSE,FALSE,1
"20",20,1,0,144.956,-14.328,FALSE,FALSE,0
"21",21,1,0,144.859,-14.32,FALSE,FALSE,1
"22",22,1,0,144.708,-14.336,FALSE,FALSE,0
"23",23,1,0,145.277,-14.343,FALSE,FALSE,0
"24",24,1,0,144.651,-14.343,FALSE,FALSE,0
"25",25,1,0,145.018,-14.364,FALSE,FALSE,0
"26",26,1,0,144.758,-14.36,FALSE,FALSE,0
"27",27,1,0,145.346,-14.38,FALSE,FALSE,0
"28",28,1,0,144.963,-14.374,FALSE,FALSE,0
"29",29,1,0,145.103,-14.421,FALSE,FALSE,0
"30",30,1,0,145.036,-14.399,FALSE,FALSE,1
"31",31,1,0,144.95,-14.414,FALSE,FALSE,0
"32",32,1,0,145.323,-14.421,FALSE,FALSE,0
"33",33,1,0,145.221,-14.454,FALSE,FALSE,1
"34",34,1,0,144.891,-14.426,FALSE,FALSE,0
"35",35,1,0,145.41,-14.445,FALSE,FALSE,0
"36",36,1,0,144.811,-14.425,FALSE,FALSE,0
"37",37,1,0,145.481,-14.453,FALSE,FALSE,0
"38",38,1,0,145.044,-14.444,FALSE,FALSE,0
