FID,BIORE_102,BIORE_103,BIORE_114,BIORE_116,BIORE_117,BIORE_118,BIORE_119,BIORE_121,BIORE_13,BIORE_132,BIORE_142,BIORE_147,BIORE_15,BIORE_16,BIORE_23,BIORE_26,BIORE_27,BIORE_29,BIORE_3,BIORE_4,geometry
0.0,,,,,,,,,,,,76146210.7964392,,,,,,,,,"POLYGON ((16428454.005805044 -2246300.2071369104, 16436354.69683379 -2241873.022332139, 16444143.011768123 -2246494.9606539994, 16444034.583113417 -2255550.9529268476, 16436129.589774003 -2259984.820886483, 16428337.327586627 -2255356.004858858, 16428454.005805044 -2246300.2071369104))"
1.0,,,,,,,,,,,,40524764.2755047,,,,,,,,,"POLYGON ((16444143.011768123 -2246494.9606539994, 16452039.75526734 -2242060.544945978, 16459832.359510519 -2246675.43911162, 16459732.18095901 -2255731.6116855945, 16451831.147888131 -2260172.718353654, 16444034.583113417 -2255550.9529268476, 16444143.011768123 -2246494.9606539994))"
2.0,,,,,,,,,,,,181154249.445363,,,,,,,,,"POLYGON ((16459832.359510519 -2246675.43911162, 16467725.14222222 -2242233.799174536, 16475522.023033598 -2246841.641658371, 16475430.09508375 -2255897.9802804594, 16467533.035561547 -2260346.318932663, 16459732.18095901 -2255731.6116855945, 16459832.359510519 -2246675.43911162))"
3.0,,,,,,,,,,,,106351934.752169,,,,,,,,,"POLYGON ((16475522.023033598 -2246841.641658371, 16483410.831718665 -2242392.784201589, 16491211.976335576 -2246993.567510117, 16491128.299444819 -2256050.0579243386, 16483235.226732424 -2260505.6218010746, 16475430.09508375 -2255897.9802804594, 16475522.023033598 -2246841.641658371))"
4.0,,,,,,,,,,,,23406928.269807,,,,,,,,,"POLYGON ((16491211.976335576 -2246993.567510117, 16499096.797773913 -2242537.4992780723, 16506902.19341179 -2247131.2159500136, 16506826.767996518 -2256187.8438976603, 16498937.695335928 -2260650.6262041237, 16491128.299444819 -2256050.0579243386, 16491211.976335576 -2246993.567510117))"
5.0,,,,,,,,,,,,,,,,,,11996.1768717168,,,"POLYGON ((16506902.19341179 -2247131.2159500136, 16514783.014402445 -2242667.9437220767, 16522592.648254955 -2247254.5863285265, 16522525.47469051 -2256311.337548428, 16514640.415304458 -2260781.331454721, 16506826.767996518 -2256187.8438976603, 16506902.19341179 -2247131.2159500136))"
6.0,,,,,,,,,,,,67072157.2087865,,,,,,,,,"POLYGON ((16420790.605372578 -2232621.9336516755, 16428686.99466 -2228201.400792649, 16436467.073021341 -2232823.5230776225, 16436354.69683379 -2241873.022332139, 16428454.005805044 -2246300.2071369104, 16420669.992898064 -2241671.232216369, 16420790.605372578 -2232621.9336516755))"
7.0,,,,,,,,,,,,170718813.789112,,,,,,,,,"POLYGON ((16436467.073021341 -2232823.5230776225, 16444359.527477289 -2228395.7671072483, 16452143.894609692 -2233010.859180147, 16452039.75526734 -2242060.544945978, 16444143.011768123 -2246494.9606539994, 16436354.69683379 -2241873.022332139, 16436467.073021341 -2232823.5230776225))"
8.0,,,,,,,,,,,,62128511.6519389,,,,,,,,,"POLYGON ((16452143.894609692 -2233010.859180147, 16460032.400998317 -2228575.8867228394, 16467821.04420203 -2233183.9410792384, 16467725.14222222 -2242233.799174536, 16459832.359510519 -2246675.43911162, 16452039.75526734 -2242060.544945978, 16452143.894609692 -2233010.859180147))"
9.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16467821.04420203 -2233183.9410792384, 16475705.589306233 -2228741.758794443, 16483498.49585949 -2233342.767961765, 16483410.831718665 -2242392.784201589, 16475522.023033598 -2246841.641658371, 16467725.14222222 -2242233.799174536, 16467821.04420203 -2233183.9410792384))"
10.0,,,,,,,,,,,,,,,,,,,,,"POLYGON ((16483498.49585949 -2233342.767961765, 16491379.066481065 -2228893.382543846, 16499176.223640217 -2233487.339081489, 16499096.797773913 -2242537.4992780723, 16491211.976335576 -2246993.567510117, 16483410.831718665 -2242392.784201589, 16483498.49585949 -2233342.767961765))"
11.0,,,,,,,,,,,,,,,,,,10128.3701042794,,,"POLYGON ((16499176.223640217 -2233487.339081489, 16507052.80659997 -2229030.7572596176, 16514854.201599602 -2233617.6537590814, 16514783.014402445 -2242667.9437220767, 16506902.19341179 -2247131.2159500136, 16499096.797773913 -2242537.4992780723, 16499176.223640217 -2233487.339081489))"
12.0,,,,,,,,,,,,,,,,,,279618.514689053,,,"POLYGON ((16514854.201599604 -2233617.6537590814, 16522726.783737503 -2229153.8822971224, 16530532.40379056 -2233733.711382168, 16530469.455616249 -2242784.116918904, 16522592.648254955 -2247254.5863285265, 16514783.014402445 -2242667.9437220767, 16514854.201599604 -2233617.6537590814))"
13.0,,,,,,,,,,,,15111054.508295,,,,,,,,,"POLYGON ((16413139.362514732 -2218949.9469843386, 16421031.450648794 -2214536.0349851297, 16428803.305682328 -2219158.352323274, 16428686.99466 -2228201.400792649, 16420790.605372578 -2232621.9336516755, 16413014.82845992 -2227992.7886907407, 16413139.362514732 -2218949.9469843386))"
14.0,,,,,,,,,,,,182603975.642256,,,,,,,,,"POLYGON ((16428803.305682328 -2219158.352323274, 16436691.471642151 -2214737.2249912624, 16444467.614890277 -2219352.5259824214, 16444359.527477289 -2228395.7671072483, 16436467.073021341 -2232823.5230776225, 16428686.99466 -2228201.400792649, 16428803.305682328 -2219158.352323274))"
15.0,,,,,,,,,,,,35951568.0605489,,,,,,,,,"POLYGON ((16444467.614890277 -2219352.5259824214, 16452351.845462138 -2214924.189892549, 16460132.264265867 -2219532.467053523, 16460032.400998317 -2228575.8867228394, 16452143.894609692 -2233010.859180147, 16444359.527477289 -2228395.7671072483, 16444467.614890277 -2219352.5259824214))"
